bucket_min,symbol,distance_bucket,threshold,n,touch_pct,median_mfe_bps,median_mae_bps
5,QQQ,0.3-0.5%,1000,1518,23.517786561264824,18.985797882080078,18.898841857910156
5,QQQ,0.3-0.5%,5000,1371,24.653537563822027,19.601318359375,20.083984375
5,QQQ,0.3-0.5%,25000,1007,27.507447864945384,20.49471092224121,21.71559715270996
5,QQQ,0.3-0.5%,50000,789,29.65779467680608,21.341815948486328,21.796409606933594
5,QQQ,0.3-0.5%,100000,564,31.20567375886525,21.11582088470459,22.784582138061523
5,QQQ,0.3-0.5%,250000,276,32.608695652173914,20.68406867980957,27.97439193725586
5,QQQ,0.3-0.5%,500000,98,32.6530612244898,18.95549774169922,39.05830955505371
5,QQQ,0.5-1%,1000,2927,4.133925521011275,18.83339500427246,20.347251892089844
5,QQQ,0.5-1%,5000,2004,5.139720558882235,19.98819351196289,21.6622896194458
5,QQQ,0.5-1%,25000,1000,7.7,20.096284866333008,24.343765258789062
5,QQQ,0.5-1%,50000,607,10.70840197693575,20.55540657043457,26.605697631835938
5,QQQ,0.5-1%,100000,313,13.418530351437699,21.996824264526367,28.450733184814453
5,QQQ,0.5-1%,250000,72,12.5,20.260194778442383,31.866074562072754
5,QQQ,1-1.5%,1000,1431,0.0,17.966472625732422,23.51938247680664
5,QQQ,1-1.5%,5000,627,0.0,16.79259490966797,27.631755828857422
5,QQQ,1-1.5%,25000,132,0.0,18.624106407165527,43.41791534423828
5,QQQ,1-1.5%,50000,53,0.0,18.053699493408203,42.63343811035156
5,QQQ,1-1.5%,100000,15,0.0,20.81273078918457,34.134761810302734
5,QQQ,1.5-2%,1000,644,0.0,16.16410255432129,25.133636474609375
5,QQQ,1.5-2%,5000,196,0.0,12.838210105895996,42.65151023864746
5,QQQ,1.5-2%,25000,24,0.0,13.122806072235107,50.333553314208984
5,QQQ,2-3%,1000,396,0.0,14.281591892242432,42.66958236694336
5,QQQ,2-3%,5000,47,0.0,16.79259490966797,59.41523361206055
5,QQQ,3%+,1000,197,0.0,14.864335060119629,30.431198120117188
5,SPXW,0.3-0.5%,1000,3403,11.842491918895092,13.05331039428711,13.054325103759766
5,SPXW,0.3-0.5%,5000,3194,12.366938008766438,13.52819538116455,13.851561069488525
5,SPXW,0.3-0.5%,25000,2669,13.675533907830648,14.722875595092773,15.099693298339844
5,SPXW,0.3-0.5%,50000,2318,14.452113891285592,15.325416564941406,15.466850280761719
5,SPXW,0.3-0.5%,100000,1937,15.900877645844089,15.69459056854248,15.564409255981445
5,SPXW,0.3-0.5%,250000,1197,19.799498746867165,16.62070655822754,16.324865341186523
5,SPXW,0.3-0.5%,500000,528,22.727272727272727,17.943742752075195,17.744680404663086
5,SPXW,0.3-0.5%,1000000,101,20.792079207920793,18.977113723754883,16.79341697692871
5,SPXW,0.5-1%,1000,7123,0.9125368524498104,13.878010749816895,14.694360733032227
5,SPXW,0.5-1%,5000,5467,0.9694530821291385,15.266618728637695,15.466850280761719
5,SPXW,0.5-1%,25000,3350,1.3432835820895521,15.69459056854248,16.337735176086426
5,SPXW,0.5-1%,50000,2440,1.8442622950819672,15.637683868408203,17.6171817779541
5,SPXW,0.5-1%,100000,1576,2.5380710659898478,15.466850280761719,19.37988567352295
5,SPXW,0.5-1%,250000,584,3.9383561643835616,17.6171817779541,20.069514274597168
5,SPXW,0.5-1%,500000,150,2.666666666666667,17.73517608642578,22.612637519836426
5,SPXW,0.5-1%,1000000,21,0.0,17.73517608642578,24.988252639770508
5,SPXW,1-1.5%,1000,4741,0.0,15.276378154754639,15.659483909606934
5,SPXW,1-1.5%,5000,2555,0.0,15.088163375854492,17.083921432495117
5,SPXW,1-1.5%,25000,869,0.0,13.178251266479492,23.04425621032715
5,SPXW,1-1.5%,50000,430,0.0,12.223357200622559,25.951675415039062
5,SPXW,1-1.5%,100000,163,0.0,13.313328742980957,27.174116134643555
5,SPXW,1-1.5%,250000,29,0.0,13.313328742980957,26.157913208007812
5,SPXW,1.5-2%,1000,2880,0.0,14.712555885314941,17.083921432495117
5,SPXW,1.5-2%,5000,1006,0.0,13.178251266479492,22.278240203857422
5,SPXW,1.5-2%,25000,189,0.0,13.024901390075684,26.157913208007812
5,SPXW,1.5-2%,50000,67,0.0,13.024901390075684,29.410444259643555
5,SPXW,1.5-2%,100000,12,0.0,9.72520637512207,27.45323657989502
5,SPXW,2-3%,1000,2515,0.0,13.024901390075684,20.93508529663086
5,SPXW,2-3%,5000,534,0.0,11.218355178833008,25.79524803161621
5,SPXW,2-3%,25000,44,0.0,11.218355178833008,24.988252639770508
5,SPXW,2-3%,50000,11,0.0,8.49923324584961,28.954797744750977
5,SPXW,3%+,1000,919,0.0,11.331258773803711,22.76754379272461
5,SPXW,3%+,5000,79,0.0,11.1491060256958,28.954797744750977
5,SPY,0.3-0.5%,1000,1738,10.93210586881473,13.375186920166016,13.147785663604736
5,SPY,0.3-0.5%,5000,1615,11.393188854489164,13.798849105834961,13.9346923828125
5,SPY,0.3-0.5%,25000,1186,13.322091062394604,15.28016185760498,15.357562065124512
5,SPY,0.3-0.5%,50000,913,15.553121577217963,15.917131423950195,15.845773696899414
5,SPY,0.3-0.5%,100000,605,18.016528925619834,16.20539665222168,16.357147216796875
5,SPY,0.3-0.5%,250000,251,18.725099601593627,17.105548858642578,18.66816520690918
