bucket_min,symbol,distance_bucket,threshold,n,touch_pct,median_mfe_bps,median_mae_bps
1,QQQ,0.3-0.5%,1000,6346,25.701229120705953,20.09476089477539,20.56045150756836
1,QQQ,0.3-0.5%,5000,4507,28.289327712447303,20.714611053466797,21.865346908569336
1,QQQ,0.3-0.5%,25000,2251,32.29675699689027,21.3177547454834,24.390968322753906
1,QQQ,0.3-0.5%,50000,1285,33.85214007782101,21.595191955566406,27.09523582458496
1,QQQ,0.3-0.5%,100000,468,39.52991452991453,26.256290435791016,28.406176567077637
1,QQQ,0.3-0.5%,250000,44,45.45454545454545,27.617566108703613,25.421757698059082
1,QQQ,0.3-0.5%,500000,12,41.66666666666667,28.663846015930176,22.923562049865723
1,QQQ,0.5-1%,1000,8778,5.764411027568922,19.597402572631836,22.124021530151367
1,QQQ,0.5-1%,5000,4391,8.494648143930768,20.27009391784668,25.032485961914062
1,QQQ,0.5-1%,25000,1201,12.98917568692756,22.126859664916992,31.084369659423828
1,QQQ,0.5-1%,50000,476,13.025210084033615,22.500194549560547,32.088945388793945
1,QQQ,0.5-1%,100000,123,8.94308943089431,22.500194549560547,34.6967887878418
1,QQQ,0.5-1%,250000,12,8.333333333333332,52.011741638183594,27.94423484802246
1,QQQ,1-1.5%,1000,2748,0.0,17.609540939331055,27.951372146606445
1,QQQ,1-1.5%,5000,727,0.0,17.763498306274414,39.23688507080078
1,QQQ,1-1.5%,25000,58,0.0,23.952034950256348,42.32621383666992
1,QQQ,1-1.5%,50000,20,0.0,21.32785415649414,43.354209899902344
1,QQQ,1-1.5%,100000,10,0.0,27.269329071044922,43.354209899902344
1,QQQ,1.5-2%,1000,894,0.0,14.595045566558838,40.787540435791016
1,QQQ,1.5-2%,5000,135,0.0,17.236652374267578,49.459232330322266
1,QQQ,1.5-2%,25000,14,0.0,6.814138174057007,59.718610763549805
1,QQQ,2-3%,1000,337,0.0,15.71004581451416,46.78703308105469
1,QQQ,2-3%,5000,21,0.0,17.719398498535156,46.252933502197266
1,QQQ,3%+,1000,96,0.0,18.00773811340332,25.492630004882812
