executed_at,underlying_symbol,option_chain_id,side,strike,option_type,expiry,underlying_price,nbbo_bid,nbbo_ask,ewma_nbbo_bid,ewma_nbbo_ask,price,size,premium,volume,open_interest,implied_volatility,delta,theta,gamma,vega,rho,theo,sector,exchange,report_flags,canceled,upstream_condition_detail,equity_type,date,ingested_at,spread_width_pct,nbbo_position,distance_from_spot_pct,distance_from_spot_pts,repeat_print_count_today,significance_score,signed_direction,time_bucket,dte_bucket,ticker_family,won,close_won,time_to_itm_min,time_in_itm_min,mfe_pts,mae_pts,close_distance_from_strike_pts
2026-04-13T16:59:04.705407+0000,SPX,SPX261218C06000000,bid,6000.0,call,2026-12-18,6847.37,1121.3,1124.0,1121.3,1124.0,1120.79,250,28019750.0,352,107000,0.2826257733963554,0.755160566923992,-1.039717795176585,0.0001966037012478367,17.77286849652209,27.62927065680673,1120.789999999999,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.0024050238275509245,-1.3777777777778488,0.12375116285522761,847.3699999999999,1,4,bearish_call_sell,midday,8DTE+,spx_complex,false,false,0,180,-886.5500000000002,-886.5500000000002,-885.9799999999996
2026-04-13T17:52:38.495434+0000,SPX,SPX260918C06000000,ask,6000.0,call,2026-09-18,6844.58,1019.5,1021.8,1019.5,1021.8,1023.4,250,25585000.0,7272,109414,0.2882579952448797,0.786410459986974,-1.220791370411107,0.0002242294569430856,13.1078619066839,18.87017507896951,1023.4,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.0022534659285748833,2.3913043478261344,0.1233939847295232,844.5799999999999,7,4,bullish_call_buy,midday,8DTE+,spx_complex,true,true,0,127,886.5500000000002,844.1599999999999,885.9799999999996
2026-04-13T17:52:38.377463+0000,SPX,SPX260918C06000000,ask,6000.0,call,2026-09-18,6844.58,1019.5,1021.8,1019.5,1021.8,1023.4,250,25585000.0,7022,109414,0.2882579952448797,0.786410459986974,-1.220791370411107,0.0002242294569430856,13.1078619066839,18.87017507896951,1023.4,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.0022534659285748833,2.3913043478261344,0.1233939847295232,844.5799999999999,6,4,bullish_call_buy,midday,8DTE+,spx_complex,true,true,0,127,886.5500000000002,844.1599999999999,885.9799999999996
2026-04-13T18:34:03.365107+0000,SPX,SPX270319C06500000,bid,6500.0,call,2027-03-19,6848.66,836.4,838.7,836.4,838.7,836.31,250,20907750.0,502,2804,0.2488020781084764,0.636275338379309,-0.93499578452589,0.0002282870659734564,24.81604540508332,32.80136920660947,836.31,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.0027461047101666387,-1.0782608695651934,0.050909228958657585,348.65999999999985,4,4,bearish_call_sell,afternoon,8DTE+,spx_complex,false,false,0,85,-386.5500000000002,-386.5500000000002,-385.97999999999956
2026-04-13T18:34:03.304112+0000,SPX,SPX270319C07200000,bid,7200.0,call,2027-03-19,6848.71,382.1,384.1,382.1,384.1,382.0,450,17190000.0,490,2128,0.1972243816256901,0.4388423154815212,-0.775948408645281,0.000302415569425193,26.05963664481988,24.43811716484638,381.9999999999996,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.0052205690420255805,-1.1000000000000227,0.05129287121224289,351.28999999999996,0,4,bearish_call_sell,afternoon,8DTE+,spx_complex,true,true,,0,313.4499999999998,313.4499999999998,314.02000000000044
2026-04-13T18:34:03.423100+0000,SPX,SPX270319C06500000,bid,6500.0,call,2027-03-19,6848.66,836.4,838.7,836.4,838.7,836.31,200,16726200.0,702,2804,0.2488020781084764,0.636275338379309,-0.93499578452589,0.0002282870659734564,24.81604540508332,32.80136920660947,836.31,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.0027461047101666387,-1.0782608695651934,0.050909228958657585,348.65999999999985,5,4,bearish_call_sell,afternoon,8DTE+,spx_complex,false,false,0,85,-386.5500000000002,-386.5500000000002,-385.97999999999956
2026-04-13T13:50:43.363603+0000,SPX,SPX260618C06650000,bid,6650.0,call,2026-06-18,6814.91,328.8,330.6,328.8,330.6,328.36,488,16023968.0,628,27353,0.2061334198978051,0.628322638455535,-1.732829109247421,0.000632991412167534,10.95765309580805,7.14897937847788,328.3599999999997,,XCBO,{futures_floor},false,mfsl,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.005459508644222053,-1.488888888888915,0.024198412011310472,164.90999999999985,1,4,bearish_call_sell,open,8DTE+,spx_complex,false,false,0,369,-236.55000000000018,-236.55000000000018,-235.97999999999956
2026-04-13T16:33:30.774716+0000,SPX,SPX260918C06750000,bid,6750.0,call,2026-09-18,6840.86,420.5,422.0,420.5,422.0,418.76,371,15535996.0,372,2394,0.206704826588878,0.568674466914784,-1.177063436910893,0.0004224424961080922,17.68902294658179,15.0271523663208,418.7600000000002,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.0035608308605341245,-3.3200000000000123,0.013281955777489918,90.85999999999967,0,4,bearish_call_sell,midday,8DTE+,spx_complex,false,false,0,206,-136.55000000000018,-136.55000000000018,-135.97999999999956
2026-04-13T13:53:01.126293+0000,SPX,SPX260918C06900000,ask,6900.0,call,2026-09-18,6806.3,303.6,305.0,303.6,305.0,305.4,500,15270000.0,500,13844,0.1933310466354415,0.48534417715992,-1.109505144293133,0.000460491983743129,17.85295350621846,12.97763549409762,305.4000000000001,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.004600722970752472,1.5714285714285483,0.013766657361562054,93.69999999999982,0,4,bullish_call_buy,open,8DTE+,spx_complex,false,false,,0,-13.449999999999818,-93.53999999999996,-14.020000000000437
2026-04-13T15:30:04.215106+0000,SPX,SPX270319P06600000,bid,6600.0,put,2027-03-19,6818.56,339.6,341.0,339.6,341.0,339.0,400,13560000.0,400,2098,0.1734821568559596,-0.3844288165120731,-0.618779880595568,0.0003346700752904704,25.14450438683704,-27.57494036656523,339.0000000000005,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.004114017043784828,-1.8571428571429036,0.03205368875539709,218.5600000000004,0,4,bullish_put_sell,morning,8DTE+,spx_complex,true,true,,0,214.1199999999999,214.1199999999999,285.97999999999956
2026-04-13T13:49:02.114520+0000,SPX,SPX261016P05500000,ask,5500.0,put,2026-10-16,6802.6,74.7,76.0,74.7,76.0,76.57,1750,13399750.0,3500,7324,0.2674082955608502,-0.1119125363205018,-0.658109596997804,0.0001466028614890015,9.24458185740785,-4.269674433992746,76.5700000000001,,XCBO,{futures_floor},false,mfsl,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.017252820172528164,1.8769230769230794,0.19148560844383034,1302.6000000000004,6,4,bearish_put_buy,open,8DTE+,spx_complex,false,false,,0,-1303.5200000000004,-1386.5500000000002,-1385.9799999999996
