signed_direction,time_bucket,dte_bucket,ticker_family,n,win_rate,n_won
bearish_put_buy,close,0DTE,index_etf,3,1.0,3
bullish_call_buy,close,8DTE+,spx_complex,3,0.3333333333333333,1
bearish_put_buy,open,0DTE,spx_complex,3,1.0,3
bullish_put_sell,open,8DTE+,single_name,3,1.0,3
undirected,afternoon,0DTE,single_name,3,,0
bearish_call_sell,morning,2-7DTE,spx_complex,2,0.0,0
bearish_put_buy,midday,0DTE,spx_complex,2,1.0,2
bullish_put_sell,open,8DTE+,index_etf,2,1.0,2
bullish_put_sell,morning,8DTE+,index_etf,2,1.0,2
bearish_put_buy,midday,8DTE+,index_etf,2,0.0,0
bearish_call_sell,midday,8DTE+,index_etf,2,1.0,2
undirected,morning,0DTE,spx_complex,2,,0
bearish_call_sell,morning,8DTE+,single_name,2,1.0,2
bullish_put_sell,close,0DTE,index_etf,2,0.0,0
bearish_put_buy,afternoon,8DTE+,index_etf,2,0.0,0
bullish_put_sell,midday,2-7DTE,index_etf,2,0.5,1
undirected,morning,8DTE+,index_etf,2,,0
bullish_put_sell,open,0DTE,spx_complex,2,0.0,0
bullish_call_buy,close,0DTE,single_name,2,1.0,2
bullish_call_buy,midday,8DTE+,index_etf,2,0.0,0
bullish_put_sell,morning,0DTE,spx_complex,2,0.0,0
bearish_call_sell,close,8DTE+,index_etf,2,1.0,2
undirected,morning,8DTE+,single_name,1,,0
bearish_call_sell,midday,0DTE,spx_complex,1,0.0,0
undirected,midday,0DTE,spx_complex,1,,0
bearish_put_buy,open,8DTE+,single_name,1,0.0,0
bearish_put_buy,midday,2-7DTE,spx_complex,1,1.0,1
bearish_call_sell,close,2-7DTE,spx_complex,1,,0
bullish_call_buy,open,2-7DTE,spx_complex,1,1.0,1
bearish_call_sell,midday,2-7DTE,spx_complex,1,0.0,0
bullish_call_buy,afternoon,8DTE+,single_name,1,0.0,0
bullish_call_buy,midday,0DTE,spx_complex,1,1.0,1
bullish_call_buy,close,8DTE+,index_etf,1,1.0,1
bearish_put_buy,midday,8DTE+,single_name,1,0.0,0
bearish_call_sell,open,1DTE,spx_complex,1,0.0,0
bearish_call_sell,close,0DTE,single_name,1,0.0,0
bearish_put_buy,open,8DTE+,index_etf,1,0.0,0
bearish_call_sell,afternoon,8DTE+,index_etf,1,0.0,0
bearish_call_sell,open,2-7DTE,single_name,1,0.0,0
bullish_call_buy,midday,2-7DTE,spx_complex,1,1.0,1
undirected,close,8DTE+,index_etf,1,,0
bearish_put_buy,morning,8DTE+,index_etf,1,0.0,0
bullish_put_sell,midday,8DTE+,single_name,1,0.0,0
bearish_call_sell,afternoon,8DTE+,single_name,1,1.0,1
bullish_put_sell,midday,8DTE+,index_etf,1,1.0,1
bullish_call_buy,afternoon,8DTE+,index_etf,1,1.0,1
undirected,morning,2-7DTE,spx_complex,1,,0
bullish_call_buy,afternoon,2-7DTE,spx_complex,1,1.0,1
bullish_put_sell,open,1DTE,spx_complex,1,1.0,1
undirected,morning,0DTE,single_name,1,,0
bullish_put_sell,open,2-7DTE,spx_complex,1,0.0,0
bearish_call_sell,morning,2-7DTE,single_name,1,0.0,0
undirected,close,0DTE,spx_complex,1,,0
undirected,open,0DTE,single_name,1,,0
