date,bucket_start,bucket_end,symbol,option_chain_id,strike,option_type,expiry,is_otm,n_prints,total_volume,total_premium,max_print_premium,buy_volume,sell_volume,mid_volume,buy_vol_pct,sell_vol_pct,buy_premium_pct,bucket_spot,spot_min,spot_max,moneyness_pct,composite_score,rank_in_day,rank_in_day_symbol
2026-04-16,2026-04-16 08:31:00,2026-04-16 08:32:00,QQQ,QQQ260416P00636000,636.0,put,2026-04-16,True,400,3226,382075.0,47362.0,2669,474,83,0.8273403595784253,0.14693118412895226,0.8252803768893542,637.989990234375,637.5,638.25,-0.003119155887765493,7.971683369015141,1,1
2026-04-16,2026-04-16 09:55:00,2026-04-16 09:56:00,QQQ,QQQ260416P00636000,636.0,put,2026-04-16,True,46,4988,359131.0,333936.0,4948,39,1,0.991980753809142,0.007818765036086608,0.9920975911296992,638.344970703125,638.2000122070312,638.5501098632812,-0.003673516375545434,7.945296782573614,2,2
2026-04-16,2026-04-16 08:56:00,2026-04-16 08:57:00,SPXW,SPXW260416P06975000,6975.0,put,2026-04-16,True,94,2190,1261294.0,294000.0,2073,69,48,0.9465753424657535,0.031506849315068496,0.9579146495583107,7014.669921875,7013.18994140625,7016.93017578125,-0.005655279908651261,7.8621473510765245,3,1
2026-04-16,2026-04-16 11:33:00,2026-04-16 11:34:00,SPXW,SPXW260416P07000000,7000.0,put,2026-04-16,True,744,2557,791673.0,46000.0,1724,712,121,0.6742276104810324,0.2784513101290575,0.6408580310304886,7029.1298828125,7026.509765625,7039.97021484375,-0.0041441662479061395,7.7961545388195965,4,2
2026-04-16,2026-04-16 10:15:00,2026-04-16 10:16:00,SPXW,SPXW260416C07065000,7065.0,call,2026-04-16,True,637,1458,428082.0,10080.0,791,515,152,0.5425240054869684,0.3532235939643347,0.5492592540681458,7042.8701171875,7038.18994140625,7043.66015625,0.00314216824167948,7.738136763071148,5,3
2026-04-16,2026-04-16 10:38:00,2026-04-16 10:39:00,SPY,SPY260416C00704000,704.0,call,2026-04-16,True,287,6081,194089.0,23250.0,5129,661,291,0.8434468015129091,0.10869922710080579,0.8418199897984945,701.8499755859375,701.7100219726562,702.0,0.0030633675127901203,7.710812895993321,6,1
2026-04-16,2026-04-16 08:49:00,2026-04-16 08:50:00,SPXW,SPXW260416C07050000,7050.0,call,2026-04-16,True,101,464,225462.0,23000.0,324,53,87,0.6982758620689655,0.11422413793103449,0.701315521019063,7028.830078125,7027.9501953125,7030.39013671875,0.003011869918563639,7.650829826855678,7,4
2026-04-16,2026-04-16 11:50:00,2026-04-16 11:51:00,SPXW,SPXW260416P07015000,7015.0,put,2026-04-16,True,28,474,173817.0,74400.0,429,22,23,0.9050632911392406,0.046413502109704644,0.9103252271066696,7038.52490234375,7037.93017578125,7039.64013671875,-0.003342305762947073,7.647728246721236,8,5
2026-04-16,2026-04-16 11:34:00,2026-04-16 11:35:00,SPXW,SPXW260416P07010000,7010.0,put,2026-04-16,True,356,1435,697100.0,37410.0,318,871,246,0.221602787456446,0.6069686411149826,0.23718404819968442,7031.91015625,7029.22021484375,7033.56005859375,-0.00311581857036756,7.645734182827172,9,6
2026-04-16,2026-04-16 08:54:00,2026-04-16 08:55:00,SPXW,SPXW260416P06990000,6990.0,put,2026-04-16,True,236,663,508710.0,52560.0,278,217,168,0.4193061840120664,0.3273001508295626,0.4191543315444949,7013.10009765625,7010.2001953125,7015.47998046875,-0.0032938497005012037,7.637470549997871,10,7
2026-04-16,2026-04-16 11:33:00,2026-04-16 11:34:00,SPXW,SPXW260416P07005000,7005.0,put,2026-04-16,True,552,1250,509827.0,9168.0,561,586,103,0.4488,0.4688,0.41950308634105293,7028.7998046875,7026.509765625,7039.97021484375,-0.003386041052361163,7.611114454083654,11,8
2026-04-16,2026-04-16 09:47:00,2026-04-16 09:48:00,SPXW,SPXW260416P07000000,7000.0,put,2026-04-16,True,159,686,345787.0,39500.0,322,305,59,0.46938775510204084,0.4446064139941691,0.4725163178488491,7021.3798828125,7019.6201171875,7021.91015625,-0.003044968819424712,7.5978355897499394,12,9
2026-04-16,2026-04-16 08:59:00,2026-04-16 09:00:00,SPXW,SPXW260416P06990000,6990.0,put,2026-04-16,True,109,453,312113.0,73100.0,294,89,70,0.6490066225165563,0.19646799116997793,0.6686200190315686,7016.10009765625,7014.81005859375,7018.18017578125,-0.0037200292602679397,7.546924490508482,13,10
2026-04-16,2026-04-16 09:22:00,2026-04-16 09:23:00,SPXW,SPXW260416P06990000,6990.0,put,2026-04-16,True,51,279,170162.0,80997.0,226,28,25,0.8100358422939068,0.1003584229390681,0.8100457211363289,7013.41015625,7012.6201171875,7014.580078125,-0.0033379134726831913,7.539536812972405,14,11
2026-04-16,2026-04-16 10:03:00,2026-04-16 10:04:00,SPXW,SPXW260416C07050000,7050.0,call,2026-04-16,True,364,797,259025.0,9900.0,418,268,111,0.5244667503136763,0.33626097867001253,0.5305704082617508,7028.4599609375,7027.2900390625,7029.3701171875,0.0030646883075687117,7.52450727501372,15,12
2026-04-16,2026-04-16 08:51:00,2026-04-16 08:52:00,QQQ,QQQ260416P00635000,635.0,put,2026-04-16,True,416,2751,312114.0,31369.0,1313,1159,279,0.4772809887313704,0.4213013449654671,0.4650095798330097,637.0650024414062,636.60498046875,637.3400268554688,-0.0032414313037015053,7.486894829738699,16,3
2026-04-16,2026-04-16 08:55:00,2026-04-16 08:56:00,SPY,SPY260416C00701000,701.0,call,2026-04-16,True,419,3546,227833.0,12000.0,2158,1340,48,0.6085730400451212,0.3778905809362662,0.6203052235628728,698.6699829101562,698.5399780273438,699.0700073242188,0.0033349322954144616,7.477444069916704,17,2
2026-04-16,2026-04-16 10:03:00,2026-04-16 10:04:00,QQQ,QQQ260416C00641000,641.0,call,2026-04-16,True,310,3915,250484.0,46500.0,1847,2039,29,0.4717752234993614,0.5208173690932312,0.4803220964213283,639.0700073242188,638.9099731445312,639.219970703125,0.0030200019616976152,7.473103231679065,18,4
2026-04-16,2026-04-16 08:31:00,2026-04-16 08:32:00,QQQ,QQQ260416C00640000,640.0,call,2026-04-16,True,278,2044,196270.0,17820.0,1342,552,150,0.6565557729941291,0.2700587084148728,0.6642787996127784,637.8900146484375,637.5,638.25,0.003307757298451181,7.464807745284246,19,5
2026-04-16,2026-04-16 08:56:00,2026-04-16 08:57:00,SPY,SPY260416P00697000,697.0,put,2026-04-16,True,584,2968,241789.0,10287.0,1462,1477,29,0.4925876010781671,0.49764150943396224,0.4926485489414324,699.155029296875,699.02001953125,699.427978515625,-0.0030823339696808964,7.451386693293819,20,3
2026-04-16,2026-04-16 08:53:00,2026-04-16 08:54:00,SPY,SPY260416P00697000,697.0,put,2026-04-16,True,637,3310,267045.0,9720.0,1726,1551,33,0.5214501510574018,0.46858006042296074,0.519882416821135,699.3599853515625,699.0499877929688,699.625,-0.0033744929664172234,7.43412060408621,21,4
2026-04-16,2026-04-16 09:09:00,2026-04-16 09:10:00,QQQ,QQQ260416P00635000,635.0,put,2026-04-16,True,221,1262,143331.0,34800.0,880,273,109,0.6973058637083994,0.2163232963549921,0.7028207435935003,636.969970703125,636.8499755859375,637.1400146484375,-0.0030927214684083617,7.431347463963457,22,6
2026-04-16,2026-04-16 08:41:00,2026-04-16 08:42:00,SPY,SPY260416P00698000,698.0,put,2026-04-16,True,271,2803,185041.0,16800.0,1891,843,69,0.674634320371031,0.3007491972886193,0.6673656108646192,700.3499755859375,700.1201171875,700.9500122070312,-0.003355430381747965,7.4280068101379735,23,5
2026-04-16,2026-04-16 08:34:00,2026-04-16 08:35:00,QQQ,QQQ260416C00640000,640.0,call,2026-04-16,True,184,1641,164208.0,42750.0,1036,506,99,0.6313223644119439,0.30834856794637416,0.626967017441294,638.030029296875,637.6699829101562,638.1749877929688,0.00308758304886677,7.416089059116586,24,7
2026-04-16,2026-04-16 09:11:00,2026-04-16 09:12:00,SPXW,SPXW260416P06995000,6995.0,put,2026-04-16,True,63,369,221980.0,46200.0,252,100,17,0.6829268292682927,0.27100271002710025,0.6813226416794306,7021.22021484375,7020.6298828125,7022.22998046875,-0.0037344242227750016,7.407311178359347,25,13
2026-04-16,2026-04-16 09:29:00,2026-04-16 09:30:00,QQQ,QQQ260416P00635000,635.0,put,2026-04-16,True,266,2089,179108.0,25800.0,1493,561,35,0.7146960268070848,0.26854954523695546,0.7156408423967662,637.2550048828125,637.0999755859375,637.39990234375,-0.003538622475357698,7.407171508933481,26,8
2026-04-16,2026-04-16 08:51:00,2026-04-16 08:52:00,SPY,SPY260416P00698000,698.0,put,2026-04-16,True,345,2299,157881.0,6600.0,1507,710,82,0.6555023923444976,0.3088299260548064,0.6525041011901369,700.2349853515625,699.9498901367188,700.426513671875,-0.0031917647622824717,7.393307291770944,27,6
2026-04-16,2026-04-16 09:06:00,2026-04-16 09:07:00,QQQ,QQQ260416C00639000,639.0,call,2026-04-16,True,370,2332,216997.0,11176.0,1281,887,164,0.5493138936535163,0.38036020583190394,0.5524730756646405,636.8800048828125,636.5900268554688,637.0900268554688,0.0033287198545000393,7.390312850430594,28,9
