rank_in_day,bucket_start,symbol,option_chain_id,strike,option_type,bucket_spot,moneyness_pct,n_prints,total_volume,total_premium,buy_premium_pct,composite_score
1,2026-04-16 08:31:00,QQQ,QQQ260416P00636000,636.0,put,637.989990234375,-0.003119155887765493,400,3226,382075.0,0.8252803768893542,7.971683369015141
2,2026-04-16 09:55:00,QQQ,QQQ260416P00636000,636.0,put,638.344970703125,-0.003673516375545434,46,4988,359131.0,0.9920975911296992,7.945296782573614
3,2026-04-16 08:56:00,SPXW,SPXW260416P06975000,6975.0,put,7014.669921875,-0.005655279908651261,94,2190,1261294.0,0.9579146495583107,7.8621473510765245
4,2026-04-16 11:33:00,SPXW,SPXW260416P07000000,7000.0,put,7029.1298828125,-0.0041441662479061395,744,2557,791673.0,0.6408580310304886,7.7961545388195965
5,2026-04-16 10:15:00,SPXW,SPXW260416C07065000,7065.0,call,7042.8701171875,0.00314216824167948,637,1458,428082.0,0.5492592540681458,7.738136763071148
6,2026-04-16 10:38:00,SPY,SPY260416C00704000,704.0,call,701.8499755859375,0.0030633675127901203,287,6081,194089.0,0.8418199897984945,7.710812895993321
7,2026-04-16 08:49:00,SPXW,SPXW260416C07050000,7050.0,call,7028.830078125,0.003011869918563639,101,464,225462.0,0.701315521019063,7.650829826855678
8,2026-04-16 11:50:00,SPXW,SPXW260416P07015000,7015.0,put,7038.52490234375,-0.003342305762947073,28,474,173817.0,0.9103252271066696,7.647728246721236
9,2026-04-16 11:34:00,SPXW,SPXW260416P07010000,7010.0,put,7031.91015625,-0.00311581857036756,356,1435,697100.0,0.23718404819968442,7.645734182827172
10,2026-04-16 08:54:00,SPXW,SPXW260416P06990000,6990.0,put,7013.10009765625,-0.0032938497005012037,236,663,508710.0,0.4191543315444949,7.637470549997871
11,2026-04-16 11:33:00,SPXW,SPXW260416P07005000,7005.0,put,7028.7998046875,-0.003386041052361163,552,1250,509827.0,0.41950308634105293,7.611114454083654
12,2026-04-16 09:47:00,SPXW,SPXW260416P07000000,7000.0,put,7021.3798828125,-0.003044968819424712,159,686,345787.0,0.4725163178488491,7.5978355897499394
13,2026-04-16 08:59:00,SPXW,SPXW260416P06990000,6990.0,put,7016.10009765625,-0.0037200292602679397,109,453,312113.0,0.6686200190315686,7.546924490508482
14,2026-04-16 09:22:00,SPXW,SPXW260416P06990000,6990.0,put,7013.41015625,-0.0033379134726831913,51,279,170162.0,0.8100457211363289,7.539536812972405
15,2026-04-16 10:03:00,SPXW,SPXW260416C07050000,7050.0,call,7028.4599609375,0.0030646883075687117,364,797,259025.0,0.5305704082617508,7.52450727501372
16,2026-04-16 08:51:00,QQQ,QQQ260416P00635000,635.0,put,637.0650024414062,-0.0032414313037015053,416,2751,312114.0,0.4650095798330097,7.486894829738699
17,2026-04-16 08:55:00,SPY,SPY260416C00701000,701.0,call,698.6699829101562,0.0033349322954144616,419,3546,227833.0,0.6203052235628728,7.477444069916704
18,2026-04-16 10:03:00,QQQ,QQQ260416C00641000,641.0,call,639.0700073242188,0.0030200019616976152,310,3915,250484.0,0.4803220964213283,7.473103231679065
19,2026-04-16 08:31:00,QQQ,QQQ260416C00640000,640.0,call,637.8900146484375,0.003307757298451181,278,2044,196270.0,0.6642787996127784,7.464807745284246
20,2026-04-16 08:56:00,SPY,SPY260416P00697000,697.0,put,699.155029296875,-0.0030823339696808964,584,2968,241789.0,0.4926485489414324,7.451386693293819
21,2026-04-16 08:53:00,SPY,SPY260416P00697000,697.0,put,699.3599853515625,-0.0033744929664172234,637,3310,267045.0,0.519882416821135,7.43412060408621
22,2026-04-16 09:09:00,QQQ,QQQ260416P00635000,635.0,put,636.969970703125,-0.0030927214684083617,221,1262,143331.0,0.7028207435935003,7.431347463963457
23,2026-04-16 08:41:00,SPY,SPY260416P00698000,698.0,put,700.3499755859375,-0.003355430381747965,271,2803,185041.0,0.6673656108646192,7.4280068101379735
24,2026-04-16 08:34:00,QQQ,QQQ260416C00640000,640.0,call,638.030029296875,0.00308758304886677,184,1641,164208.0,0.626967017441294,7.416089059116586
25,2026-04-16 09:11:00,SPXW,SPXW260416P06995000,6995.0,put,7021.22021484375,-0.0037344242227750016,63,369,221980.0,0.6813226416794306,7.407311178359347
26,2026-04-16 09:29:00,QQQ,QQQ260416P00635000,635.0,put,637.2550048828125,-0.003538622475357698,266,2089,179108.0,0.7156408423967662,7.407171508933481
27,2026-04-16 08:51:00,SPY,SPY260416P00698000,698.0,put,700.2349853515625,-0.0031917647622824717,345,2299,157881.0,0.6525041011901369,7.393307291770944
28,2026-04-16 09:06:00,QQQ,QQQ260416C00639000,639.0,call,636.8800048828125,0.0033287198545000393,370,2332,216997.0,0.5524730756646405,7.390312850430594
29,2026-04-16 08:53:00,SPXW,SPXW260416P06995000,6995.0,put,7017.1201171875,-0.0031523070459232587,181,412,328052.0,0.3140934973723678,7.3843453972707485
30,2026-04-16 08:54:00,SPXW,SPXW260416C07035000,7035.0,call,7011.64990234375,0.0033301859022431906,160,468,291446.0,0.4182215573382376,7.383725375947949
31,2026-04-16 09:27:00,QQQ,QQQ260416P00635000,635.0,put,637.0349731445312,-0.0031944449368081287,245,2168,207285.0,0.5227199266710085,7.380956416665671
32,2026-04-16 10:15:00,SPY,SPY260416C00704000,704.0,call,701.8049926757812,0.0031276598871857785,469,3427,119464.0,0.7392185093417264,7.378161230618369
33,2026-04-16 09:03:00,SPY,SPY260416P00697000,697.0,put,699.260009765625,-0.0032320020222270404,171,2326,186149.0,0.5721867965984239,7.372449230484723
34,2026-04-16 11:33:00,QQQ,QQQ260416C00642000,642.0,call,639.8929443359375,0.0032928252807180765,400,3874,193021.0,0.5714507747861631,7.369210001827671
35,2026-04-16 08:52:00,SPXW,SPXW260416P06995000,6995.0,put,7020.66015625,-0.0036549492040512128,205,453,281649.0,0.5091230574225366,7.362348051778542
36,2026-04-16 09:08:00,SPXW,SPXW260416P06990000,6990.0,put,7021.52001953125,-0.004489059269726934,79,480,244262.0,0.8189730699003529,7.360112975715039
37,2026-04-16 10:30:00,SPXW,SPXW260416C07055000,7055.0,call,7033.2099609375,0.003098164164516919,224,570,164232.0,0.5725619854839495,7.358573162224972
38,2026-04-16 09:14:00,SPXW,SPXW260416P07000000,7000.0,put,7021.259765625,-0.003027913271217299,141,297,201655.0,0.4578562396171679,7.354093406629463
39,2026-04-16 09:18:00,SPXW,SPXW260416C07040000,7040.0,call,7014.830078125,0.0035881014357695873,221,604,232555.0,0.5609683730730365,7.3510654912349604
40,2026-04-16 09:02:00,SPY,SPY260416P00697000,697.0,put,699.2050170898438,-0.003153605932379084,239,1774,144429.0,0.6324768571408789,7.346052488674858
41,2026-04-16 09:21:00,QQQ,QQQ260416C00639000,639.0,call,636.719970703125,0.0035808980427568197,135,1575,128472.0,0.8095616165390124,7.3441040692540405
42,2026-04-16 09:01:00,SPXW,SPXW260416P06990000,6990.0,put,7011.35009765625,-0.0030450765343163935,119,267,212423.0,0.4264227508320662,7.340103372997127
43,2026-04-16 10:37:00,SPXW,SPXW260416C07070000,7070.0,call,7045.02001953125,0.00354576429868145,312,811,187741.0,0.6278117193367458,7.337643869789991
44,2026-04-16 10:59:00,SPXW,SPXW260416P07025000,7025.0,put,7046.39013671875,-0.0030356162948295983,99,246,82261.0,0.83210756008315,7.336621935747433
45,2026-04-16 08:53:00,QQQ,QQQ260416P00634000,634.0,put,636.1099853515625,-0.003317013409868676,369,1690,205282.0,0.5044621544996639,7.321711117383659
46,2026-04-16 08:56:00,SPXW,SPXW260416P06965000,6965.0,put,7014.93017578125,-0.007117701036231525,86,2192,973045.0,0.9685112199333021,7.321334280754549
47,2026-04-16 10:36:00,QQQ,QQQ260416C00643000,643.0,call,640.8200073242188,0.003401879858408192,225,1880,98201.0,0.8481685522550687,7.319724927530954
48,2026-04-16 10:05:00,SPXW,SPXW260416P07005000,7005.0,put,7028.60986328125,-0.003359108520817504,57,273,106183.0,0.796775378356234,7.315101903496672
49,2026-04-16 08:35:00,SPXW,SPXW260416C07060000,7060.0,call,7035.080078125,0.0035422371313848207,214,573,224666.0,0.5231944308440084,7.3120625775975725
50,2026-04-16 09:00:00,SPXW,SPXW260416P06995000,6995.0,put,7017.169921875,-0.0031593822184479976,122,312,243945.0,0.3713132058455799,7.3107922416601845
