rank_in_day,bucket_start,symbol,option_chain_id,strike,option_type,bucket_spot,moneyness_pct,n_prints,total_volume,total_premium,buy_premium_pct,composite_score
1,2026-04-13 09:58:00,SPXW,SPXW260413P06800000,6800.0,put,6829.2998046875,-0.004290308746936132,238,3058,1123893.0,0.8544496673615727,8.118082395985379
2,2026-04-13 09:33:00,SPXW,SPXW260413C06850000,6850.0,call,6820.35986328125,0.004345831790830204,67,2606,621817.0,0.9769980556980591,7.9669118080241805
3,2026-04-13 09:58:00,SPXW,SPXW260413P06795000,6795.0,put,6829.39501953125,-0.005036320118090164,146,2782,885671.0,0.9316416592617349,7.868018538764589
4,2026-04-13 09:23:00,SPXW,SPXW260413P06780000,6780.0,put,6812.93994140625,-0.00483490852547438,104,1612,698399.0,0.8783016585075294,7.771933331562728
5,2026-04-13 08:49:00,SPXW,SPXW260413C06830000,6830.0,call,6808.52001953125,0.003154867784354234,444,869,551863.0,0.43701425897369456,7.732385988123544
6,2026-04-13 08:51:00,SPXW,SPXW260413P06790000,6790.0,put,6810.64013671875,-0.0030305722082526686,209,448,446801.0,0.469121599996419,7.710065045981692
7,2026-04-13 11:11:00,SPXW,SPXW260413P06800000,6800.0,put,6822.81005859375,-0.0033432058635458166,117,790,259744.0,0.7734962116545522,7.685081648884278
8,2026-04-13 08:50:00,SPY,SPY260413P00677000,677.0,put,679.1500244140625,-0.0031657576923706013,600,3924,403872.0,0.5221431542666983,7.678660666937791
9,2026-04-13 11:29:00,SPXW,SPXW260413C06860000,6860.0,call,6837.91015625,0.003230496342484026,551,1500,358852.0,0.565160567587752,7.650928246114514
10,2026-04-13 08:50:00,SPXW,SPXW260413C06835000,6835.0,call,6813.7001953125,0.0031260261057792426,302,780,575794.0,0.3261010013998062,7.648561058964891
11,2026-04-13 08:52:00,QQQ,QQQ260413C00612000,612.0,call,610.1300048828125,0.0030649125632604634,323,3267,311370.0,0.5448180621125992,7.618622454589225
12,2026-04-13 09:58:00,SPXW,SPXW260413C06850000,6850.0,call,6829.3701171875,0.003020759229402533,398,979,293821.0,0.5532109685829127,7.615067510348099
13,2026-04-13 08:33:00,SPY,SPY260413P00675000,675.0,put,677.1300048828125,-0.0031456365357508107,669,3721,385280.0,0.4429921096345515,7.5850787413673775
