date,bucket_start,bucket_end,symbol,option_chain_id,strike,option_type,expiry,is_otm,n_prints,total_volume,total_premium,max_print_premium,buy_volume,sell_volume,mid_volume,buy_vol_pct,sell_vol_pct,buy_premium_pct,bucket_spot,spot_min,spot_max,moneyness_pct,composite_score,rank_in_day,rank_in_day_symbol
2026-04-14,2026-04-14 09:10:00,2026-04-14 09:15:00,SPXW,SPXW260414C06950000,6950.0,call,2026-04-14,True,1883,4737,1512545.0,23440.0,2311,1905,521,0.48786151572725356,0.40215326155794806,0.5019645696491675,6928.75,6926.02001953125,6933.41015625,0.003066931264658127,8.261593781670374,1,1
2026-04-14,2026-04-14 11:50:00,2026-04-14 11:55:00,SPXW,SPXW260414C06980000,6980.0,call,2026-04-14,True,407,4957,746069.0,123728.0,4012,830,115,0.8093605003026024,0.16743998386120637,0.8173372704133264,6957.64990234375,6955.7099609375,6961.06005859375,0.003212305587368108,8.22642517125669,2,2
2026-04-14,2026-04-14 11:00:00,2026-04-14 11:05:00,SPXW,SPXW260414C06975000,6975.0,call,2026-04-14,True,573,4548,957489.0,201596.0,2241,2174,133,0.49274406332453824,0.4780123131046614,0.5037916884684837,6953.6201171875,6952.27978515625,6956.169921875,0.003074640611967659,8.062533751782556,3,3
2026-04-14,2026-04-14 08:45:00,2026-04-14 08:50:00,SPXW,SPXW260414P06900000,6900.0,put,2026-04-14,True,819,2104,1156357.0,26500.0,788,838,478,0.3745247148288973,0.3982889733840304,0.37789713730275337,6921.419921875,6919.18017578125,6923.27978515625,-0.0030947294221092977,8.012570619974802,4,4
2026-04-14,2026-04-14 08:30:00,2026-04-14 08:35:00,SPXW,SPXW260414C06930000,6930.0,call,2026-04-14,True,1149,2736,950017.0,62400.0,1155,923,658,0.42214912280701755,0.33735380116959063,0.44251418658824,6908.259765625,6905.169921875,6910.97998046875,0.003146991443949145,7.976148587351941,5,5
2026-04-14,2026-04-14 09:05:00,2026-04-14 09:10:00,SPXW,SPXW260414C06945000,6945.0,call,2026-04-14,True,904,2030,687714.0,18096.0,940,814,276,0.4630541871921182,0.4009852216748768,0.47453883445734707,6924.2099609375,6919.7900390625,6927.8798828125,0.0030025142478038234,7.911193057115171,6,6
2026-04-14,2026-04-14 08:50:00,2026-04-14 08:55:00,SPXW,SPXW260414P06900000,6900.0,put,2026-04-14,True,684,1894,1006042.0,30210.0,518,938,438,0.2734952481520591,0.4952481520591341,0.27804902777418833,6920.91015625,6919.330078125,6922.91015625,-0.0030213015019587945,7.874275120792764,7,7
2026-04-14,2026-04-14 09:15:00,2026-04-14 09:20:00,SPXW,SPXW260414C06955000,6955.0,call,2026-04-14,True,740,2528,718933.0,65000.0,1145,1189,194,0.45292721518987344,0.47033227848101267,0.47417770501562734,6932.759765625,6930.52001953125,6934.68994140625,0.0032079914964419664,7.868469278939558,8,8
2026-04-14,2026-04-14 10:25:00,2026-04-14 10:30:00,SPXW,SPXW260414C06975000,6975.0,call,2026-04-14,True,482,4641,618301.0,101250.0,3445,701,495,0.742296918767507,0.15104503339797457,0.7500602457379173,6947.31005859375,6943.580078125,6948.52978515625,0.003985706866789086,7.845548836999613,9,9
2026-04-14,2026-04-14 10:30:00,2026-04-14 10:35:00,SPXW,SPXW260414C06970000,6970.0,call,2026-04-14,True,807,3161,633756.0,32340.0,1262,1565,334,0.39924074659917747,0.4950964884530212,0.40925214120260794,6949.0400390625,6946.41015625,6950.580078125,0.0030162383321549724,7.806303410812039,10,10
