rank_in_day,bucket_start,symbol,option_chain_id,strike,option_type,bucket_spot,moneyness_pct,n_prints,total_volume,total_premium,buy_premium_pct,composite_score
1,2026-04-14 09:10:00,SPXW,SPXW260414C06950000,6950.0,call,6928.75,0.003066931264658127,1883,4737,1512545.0,0.5019645696491675,8.261593781670374
2,2026-04-14 11:50:00,SPXW,SPXW260414C06980000,6980.0,call,6957.64990234375,0.003212305587368108,407,4957,746069.0,0.8173372704133264,8.22642517125669
3,2026-04-14 11:00:00,SPXW,SPXW260414C06975000,6975.0,call,6953.6201171875,0.003074640611967659,573,4548,957489.0,0.5037916884684837,8.062533751782556
4,2026-04-14 08:45:00,SPXW,SPXW260414P06900000,6900.0,put,6921.419921875,-0.0030947294221092977,819,2104,1156357.0,0.37789713730275337,8.012570619974802
5,2026-04-14 08:30:00,SPXW,SPXW260414C06930000,6930.0,call,6908.259765625,0.003146991443949145,1149,2736,950017.0,0.44251418658824,7.976148587351941
6,2026-04-14 09:05:00,SPXW,SPXW260414C06945000,6945.0,call,6924.2099609375,0.0030025142478038234,904,2030,687714.0,0.47453883445734707,7.911193057115171
7,2026-04-14 08:50:00,SPXW,SPXW260414P06900000,6900.0,put,6920.91015625,-0.0030213015019587945,684,1894,1006042.0,0.27804902777418833,7.874275120792764
8,2026-04-14 09:15:00,SPXW,SPXW260414C06955000,6955.0,call,6932.759765625,0.0032079914964419664,740,2528,718933.0,0.47417770501562734,7.868469278939558
9,2026-04-14 10:25:00,SPXW,SPXW260414C06975000,6975.0,call,6947.31005859375,0.003985706866789086,482,4641,618301.0,0.7500602457379173,7.845548836999613
10,2026-04-14 10:30:00,SPXW,SPXW260414C06970000,6970.0,call,6949.0400390625,0.0030162383321549724,807,3161,633756.0,0.40925214120260794,7.806303410812039
11,2026-04-14 09:15:00,SPXW,SPXW260414P06910000,6910.0,put,6932.5,-0.0032455824017309774,463,1407,607418.0,0.4807809449176679,7.790594596877066
12,2026-04-14 13:20:00,SPXW,SPXW260414P06925000,6925.0,put,6949.58984375,-0.0035383158291153647,1146,4036,760545.0,0.4343950719549797,7.754025809777706
13,2026-04-14 09:35:00,SPY,SPY260414P00689000,689.0,put,691.2000122070312,-0.003182887974794035,1174,13137,540616.0,0.474945247643429,7.752968553412376
14,2026-04-14 08:45:00,SPY,SPY260414C00692000,692.0,call,689.6599731445312,0.003393015321447912,2204,15641,569012.0,0.5099874870828734,7.747205079299758
15,2026-04-14 08:30:00,SPY,SPY260414P00686000,686.0,put,688.2349853515625,-0.0032474160702842363,1147,8892,474594.0,0.5206323720906711,7.72273070948881
16,2026-04-14 08:35:00,SPXW,SPXW260414C06940000,6940.0,call,6915.47021484375,0.0035470885412242693,1157,2778,847172.0,0.3534748551651849,7.717320398846971
17,2026-04-14 08:40:00,QQQ,QQQ260414P00620000,620.0,put,622.0750122070312,-0.0033356302155095573,1107,7580,581463.0,0.44731307065109904,7.711146837555685
18,2026-04-14 09:20:00,SPXW,SPXW260414P06910000,6910.0,put,6932.669921875,-0.003270013159499843,249,887,378136.0,0.6097673852793704,7.706412611775949
19,2026-04-14 08:35:00,QQQ,QQQ260414P00620000,620.0,put,622.114990234375,-0.003399677338715469,1231,9047,734725.0,0.35842390009867636,7.704646107127563
20,2026-04-14 09:05:00,SPXW,SPXW260414P06900000,6900.0,put,6924.31005859375,-0.003510827560874289,829,2280,942906.0,0.2735118877173334,7.694732479341285
21,2026-04-14 09:40:00,SPXW,SPXW260414P06910000,6910.0,put,6932.18017578125,-0.0031995959739679323,373,1295,508253.0,0.4343230635136438,7.680525076579414
22,2026-04-14 09:05:00,SPXW,SPXW260414C06950000,6950.0,call,6924.41015625,0.003695599072348784,1249,3356,857031.0,0.3543057368986653,7.678623053177866
