date,symbol,option_chain_id,bucket_start,bucket_end,strike,option_type,expiry,is_otm,n_prints,total_volume,total_premium,buy_premium_pct,bucket_spot,moneyness_pct,composite_score,base_spot,ret_fwd_1m,ret_fwd_5m,ret_fwd_15m,ret_fwd_30m,ret_fwd_60m,direction_toward_strike,direction_by_burst,toward_ret_1m,signed_ret_1m,toward_ret_5m,signed_ret_5m,toward_ret_15m,signed_ret_15m,toward_ret_30m,signed_ret_30m,toward_ret_60m,signed_ret_60m,distance_to_strike_bps,touched_strike,minutes_to_touch,peak_toward_bps,peak_against_bps,minutes_to_peak_toward,minutes_to_peak_against,end_of_window_ret_bps,window_minutes
2026-04-15,SPXW,SPXW260415C07025000,2026-04-15 13:02:00,2026-04-15 13:03:00+00:00,7025.0,call,2026-04-15,True,1034,2930,744515.0,0.4088379683418064,7003.4501953125,0.0030770269062416642,7.857603931851047,7002.080078125,0.0002570385695435107,0.0004156131180934608,0.0008026353898458183,0.001263924059458077,0.002622058382257819,1,-1,0.0002570385695435107,-0.0002570385695435107,0.0004156131180934608,-0.0004156131180934608,0.0008026353898458183,-0.0008026353898458183,0.001263924059458077,-0.001263924059458077,0.002622058382257819,-0.002622058382257819,32.73301878766494,True,92.0,34.50425720214844,0.0,116.0,,29.691232681274414,117.0
2026-04-15,SPXW,SPXW260415C07025000,2026-04-15 10:30:00,2026-04-15 10:31:00+00:00,7025.0,call,2026-04-15,True,140,4531,470976.0,0.920947139557005,6995.89013671875,0.00416099491449465,7.845648364233518,6994.259765625,-8.572878141421825e-05,-1.856991548265796e-05,0.0007134756888262928,-0.00015149141836445779,0.0002802940143737942,1,1,-8.572878141421825e-05,-8.572878141421825e-05,-1.856991548265796e-05,-1.856991548265796e-05,0.0007134756888262928,0.0007134756888262928,-0.00015149141836445779,-0.00015149141836445779,0.0002802940143737942,0.0002802940143737942,43.95066154974741,False,,10.952061653137207,20.34522819519043,53.0,85.0,5.533276081085205,120.0
2026-04-15,SPXW,SPXW260415P06960000,2026-04-15 11:56:00,2026-04-15 11:57:00+00:00,6960.0,put,2026-04-15,True,599,1297,525364.0,0.5096428381084352,6981.35009765625,-0.0030581617248241952,7.812655457224703,6985.259765625,0.0003264407569076866,0.0005912981578148901,0.0014330538688227534,0.0019656347576528788,0.0022418859880417585,-1,-1,-0.0003264407569076866,-0.0003264407569076866,-0.0005912981578148901,-0.0005912981578148901,-0.0014330538688227534,-0.0014330538688227534,-0.0019656347576528788,-0.0019656347576528788,-0.0022418859880417585,-0.0022418859880417585,36.16152651803337,False,,0.0,52.110286712646484,,120.0,-50.979278564453125,120.0
2026-04-15,SPXW,SPXW260415P06970000,2026-04-15 10:42:00,2026-04-15 10:43:00+00:00,6970.0,put,2026-04-15,True,80,1667,371340.0,0.9423062422577692,6998.3701171875,-0.004053817776488415,7.79593381191939,6999.22021484375,-5.001952376915142e-05,-0.0001886370882857591,-0.0005986994947306812,-0.00022861085017211735,-0.0014544728910550475,-1,-1,5.001952376915142e-05,5.001952376915142e-05,0.0001886370882857591,0.0001886370882857591,0.0005986994947306812,0.0005986994947306812,0.00022861085017211735,0.00022861085017211735,0.0014544728910550475,0.0014544728910550475,41.74781468052768,False,,27.41795539855957,6.5716023445129395,73.0,113.0,3.072329044342041,120.0
2026-04-15,SPXW,SPXW260415C07010000,2026-04-15 09:22:00,2026-04-15 09:23:00+00:00,7010.0,call,2026-04-15,True,325,1945,570961.0,0.5033128357278343,6987.2099609375,0.0032616794385612216,7.78141620918381,6988.240234375,0.00028046558145433664,0.00039065349847078323,0.00016594563203398138,0.0004650670161936432,0.0013965985272079706,1,1,0.00028046558145433664,0.00028046558145433664,0.00039065349847078323,0.00039065349847078323,0.00016594563203398138,0.00016594563203398138,0.0004650670161936432,0.0004650670161936432,0.0013965985272079706,0.0013965985272079706,31.13768974049317,False,,19.561323165893555,6.9117231369018555,120.0,16.0,19.11763572692871,120.0
2026-04-15,SPXW,SPXW260415C07015000,2026-04-15 09:59:00,2026-04-15 10:00:00+00:00,7015.0,call,2026-04-15,True,146,1087,233720.0,0.858052370357693,6992.58984375,0.0032048435201773307,7.765297050121539,6990.89990234375,3.576077506295405e-05,0.0003361652488820255,0.0008739737677387893,0.0007752824458293617,0.00026604061713442206,1,1,3.576077506295405e-05,3.576077506295405e-05,0.0003361652488820255,0.0003361652488820255,0.0008739737677387893,0.0008739737677387893,0.0007752824458293617,0.0007752824458293617,0.00026604061713442206,0.00026604061713442206,34.473527003541086,False,,15.76337718963623,15.54895305633545,84.0,116.0,-3.704592704772949,120.0
2026-04-15,SPXW,SPXW260415C07000000,2026-04-15 08:30:00,2026-04-15 08:31:00+00:00,7000.0,call,2026-04-15,True,442,1168,452821.0,0.501544760512432,6978.33984375,0.0031039124970962044,7.726298529931497,6978.8701171875,-2.0080144167877734e-05,0.0003381440183147788,-0.0012093564728274941,-0.00039264728548005223,0.001991712488234043,1,1,-2.0080144167877734e-05,-2.0080144167877734e-05,0.0003381440183147788,0.0003381440183147788,-0.0012093564728274941,-0.0012093564728274941,-0.00039264728548005223,-0.00039264728548005223,0.001991712488234043,0.001991712488234043,30.276939472568074,False,,30.04745101928711,16.82254409790039,117.0,13.0,22.051776885986328,120.0
2026-04-15,SPXW,SPXW260415P06950000,2026-04-15 09:06:00,2026-04-15 09:07:00+00:00,6950.0,put,2026-04-15,True,334,1131,513680.0,0.5731700669677621,6974.72021484375,-0.003544258992803741,7.720585871491508,6977.240234375,3.863006713800132e-05,0.0004170227621216327,0.001424623653292656,0.0019634850323200226,0.001949138706550002,-1,-1,-3.863006713800132e-05,-3.863006713800132e-05,-0.0004170227621216327,-0.0004170227621216327,-0.001424623653292656,-0.001424623653292656,-0.0019634850323200226,-0.0019634850323200226,-0.001949138706550002,-0.001949138706550002,39.04156007241178,False,,0.5164672136306763,32.39046859741211,1.0,81.0,-27.23139762878418,120.0
2026-04-15,SPXW,SPXW260415P06950000,2026-04-15 08:41:00,2026-04-15 08:42:00+00:00,6950.0,put,2026-04-15,True,79,1765,640326.0,0.9385094467505615,6986.4501953125,-0.005217269756958398,7.679730334315243,6985.0498046875,-0.000621304614469409,-0.0017007584683597088,-0.0011352370493113995,-0.0007014842121861875,0.0005913159111514688,-1,-1,0.000621304614469409,0.000621304614469409,0.0017007584683597088,0.0017007584683597088,0.0011352370493113995,0.0011352370493113995,0.0007014842121861875,0.0007014842121861875,-0.0005913159111514688,-0.0005913159111514688,50.1783175031607,False,,25.654680252075195,21.17384910583496,2.0,106.0,-19.026405334472656,120.0
2026-04-15,SPXW,SPXW260415C07005000,2026-04-15 08:34:00,2026-04-15 08:35:00+00:00,7005.0,call,2026-04-15,True,249,712,308257.0,0.5992175360170248,6982.2001953125,0.0032654183566387354,7.608506385374345,6981.64013671875,-5.8747835282702e-05,0.000843590940348804,-0.0009654227760620415,-0.0007663095602765679,0.0011759358458220959,1,1,-5.8747835282702e-05,-5.8747835282702e-05,0.000843590940348804,0.000843590940348804,-0.0009654227760620415,-0.0009654227760620415,-0.0007663095602765679,-0.0007663095602765679,0.0011759358458220959,0.0011759358458220959,33.45899075833595,False,,26.06795310974121,20.783445358276367,113.0,9.0,16.958541870117188,120.0
2026-04-15,SPXW,SPXW260415C07000000,2026-04-15 08:44:00,2026-04-15 08:45:00+00:00,7000.0,call,2026-04-15,True,516,1445,614628.0,0.36715704458631887,6975.02978515625,0.0035799438300449684,7.581786943264823,6970.6201171875,-2.7248854166828096e-05,0.0006139748147688806,0.0013800949091091752,0.002005557529628277,0.0029925405979156494,1,-1,-2.7248854166828096e-05,2.7248854166828096e-05,0.0006139748147688806,-0.0006139748147688806,0.0013800949091091752,-0.0013800949091091752,0.002005557529628277,-0.002005557529628277,0.0029925405979156494,-0.0029925405979156494,42.14816231350471,False,,41.91840362548828,1.9515502452850342,103.0,1.0,39.996273040771484,120.0
