symbol,distance_bucket,threshold,loo_mean,loo_min,loo_max,loo_std,loo_runs,loo_range,full_sample_touch_pct,full_sample_n,verdict
QQQ,0.3-0.5%,1000,25.685642054094707,22.174800519576916,28.37200870195794,2.1449551120494266,8,6.197208182381026,25.701229120705953,6346,moderate
QQQ,0.3-0.5%,5000,28.266882768099986,24.775488642366614,30.808337569903404,2.0027256058179708,8,6.03284892753679,28.289327712447303,4507,moderate
QQQ,0.3-0.5%,25000,32.26109994655094,28.533190578158457,34.771443246019516,1.9602498723272395,8,6.238252667861058,32.29675699689027,2251,moderate
QQQ,0.3-0.5%,50000,33.80234430114407,30.197554092191908,36.69064748201439,2.024676922954141,8,6.493093389822484,33.85214007782101,1285,moderate
QQQ,0.3-0.5%,100000,39.44550457164906,35.526315789473685,42.65060240963855,2.2614056549104675,8,7.124286620164867,39.52991452991453,468,moderate
QQQ,0.3-0.5%,250000,45.06279719694354,32.142857142857146,55.55555555555556,6.583393743567931,8,23.41269841269841,45.45454545454545,44,fragile
QQQ,0.3-0.5%,500000,42.510822510822514,40.0,45.45454545454545,2.101017038505583,7,5.454545454545453,41.66666666666667,12,moderate
QQQ,0.5-1%,1000,5.760159902383472,4.927031731155442,6.449055107704506,0.5663500197993674,8,1.5220233765490638,5.764411027568922,8778,robust
QQQ,0.5-1%,5000,8.488413445433427,7.6215505913272015,9.527643585614602,0.7589449385498992,8,1.9060929942874,8.494648143930768,4391,robust
QQQ,0.5-1%,25000,13.001911698438585,11.467444120505345,14.389989572471324,1.1402546303280368,8,2.922545451965979,12.98917568692756,1201,robust
QQQ,0.5-1%,50000,13.03118735494402,11.528822055137844,14.454976303317535,1.1229705971517445,8,2.9261542481796905,13.025210084033615,476,robust
QQQ,0.5-1%,100000,8.945521936821834,7.6190476190476195,10.576923076923077,0.9247260575459771,8,2.957875457875457,8.94308943089431,123,robust
QQQ,0.5-1%,250000,8.737373737373737,8.333333333333332,10.0,0.6887970554033266,6,1.6666666666666679,8.333333333333332,12,robust
QQQ,1-1.5%,1000,0.0,0.0,0.0,0.0,8,0.0,0.0,2748,robust
QQQ,1-1.5%,5000,0.0,0.0,0.0,0.0,8,0.0,0.0,727,robust
QQQ,1-1.5%,25000,0.0,0.0,0.0,0.0,8,0.0,0.0,58,robust
QQQ,1-1.5%,50000,0.0,0.0,0.0,0.0,8,0.0,0.0,20,robust
QQQ,1-1.5%,100000,0.0,0.0,0.0,0.0,3,0.0,0.0,10,robust
QQQ,1.5-2%,1000,0.0,0.0,0.0,0.0,8,0.0,0.0,894,robust
QQQ,1.5-2%,5000,0.0,0.0,0.0,0.0,8,0.0,0.0,135,robust
QQQ,1.5-2%,25000,0.0,0.0,0.0,0.0,7,0.0,0.0,14,robust
QQQ,2-3%,1000,0.0,0.0,0.0,0.0,8,0.0,0.0,337,robust
QQQ,2-3%,5000,0.0,0.0,0.0,0.0,8,0.0,0.0,21,robust
QQQ,3%+,1000,0.0,0.0,0.0,0.0,8,0.0,0.0,96,robust
SPXW,0.3-0.5%,1000,12.605603019514819,9.412294528259402,14.30983847283407,1.5677084024756507,8,4.897543944574668,12.61313679855185,15468,robust
SPXW,0.3-0.5%,5000,13.876900760268871,10.3540971449759,15.674426870446064,1.625371643687147,8,5.320329725470165,13.892385147891757,12712,moderate
SPXW,0.3-0.5%,25000,17.350288669792864,13.232458092271177,19.482307586396804,1.8692091863239193,8,6.249849494125627,17.38223748773307,8152,moderate
SPXW,0.3-0.5%,50000,19.41183072283394,15.086107921928818,21.723706176961603,1.9859927124745111,8,6.637598255032785,19.455325498974073,5361,moderate
SPXW,0.3-0.5%,100000,21.692008968954987,17.1,23.91304347826087,2.06769737174116,8,6.8130434782608695,21.761453396524484,2532,moderate
SPXW,0.3-0.5%,250000,18.67628258369772,13.10344827586207,20.59620596205962,2.322929099840989,8,7.492757686197551,18.82640586797066,409,moderate
SPXW,0.3-0.5%,500000,15.322589295747044,12.0,16.94915254237288,1.4695713666556767,8,4.949152542372879,15.384615384615385,65,robust
SPXW,0.5-1%,1000,1.0851937677407273,0.5293780999618467,1.2186834594300728,0.2304351431147422,8,0.6893053594682261,1.0880556566759698,24723,robust
SPXW,0.5-1%,5000,1.5738298954633403,0.7539464383884394,1.7718140707242938,0.3388156705533025,8,1.0178676323358542,1.5789125982691419,15137,robust
SPXW,0.5-1%,25000,3.2441466184343666,1.6413373860182372,3.6611079164270652,0.6690417836346452,8,2.0197705304088283,3.258145363408521,5985,robust
SPXW,0.5-1%,50000,3.7781488798257854,2.7131782945736433,4.333470903838217,0.5392494431203771,8,1.6202926092645735,3.792981212336051,2821,robust
