date,timestamp,ticker,price,gamma_oi,gamma_vol,gamma_dir,charm_oi,charm_vol,charm_dir,vanna_oi,vanna_vol,vanna_dir
2026-04-13T05:00:00.000Z,2026-04-13T13:30:00.000Z,SPX,6795.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-13T05:00:00.000Z,2026-04-13T13:35:00.000Z,SPX,6790.00,15549027952.1400,-1796097067.2900,3056948503.3300,-10970234848846.8200,-2710376252076.4400,-23700320239.8100,1110345447.4957,102684155.9049,5557718.9151
2026-04-13T05:00:00.000Z,2026-04-13T13:40:00.000Z,SPX,6795.00,8412912851.9300,-2208550222.7000,3631611118.0000,-11013965034351.3900,-3694039846942.8200,-81606304139.5700,980864652.9243,143119260.4906,6963411.2730
2026-04-13T05:00:00.000Z,2026-04-13T13:45:00.000Z,SPX,6790.00,15019140392.7200,-2907940481.9300,4673202025.6100,-11274234286831.9000,-4742050088707.5000,-227195906091.0700,1094534656.5754,184506720.7242,11991310.6284
2026-04-13T05:00:00.000Z,2026-04-13T13:50:00.000Z,SPX,6805.00,25592194688.2000,15901387722.5300,7434970108.5400,-11300541022032.6300,-6643536302821.0500,-134415184127.8500,1027919467.7825,230134062.1230,12268445.5980
2026-04-13T05:00:00.000Z,2026-04-13T13:55:00.000Z,SPX,6810.00,19301531460.7400,20177676382.6300,8556139048.6900,-11220435915749.9000,-8110226552188.1100,-138297302081.8800,952023385.0348,290993953.1009,16190174.2399
2026-04-13T05:00:00.000Z,2026-04-13T14:00:00.000Z,SPX,6815.00,38925108446.1100,39069900982.7900,12545782048.5300,-11381871910001.7000,-9502789526932.1600,-193893988240.9700,560277370.3693,334561881.5660,24555529.9030
2026-04-13T05:00:00.000Z,2026-04-13T14:05:00.000Z,SPX,6820.00,25900965705.7100,40021836829.4500,14512546085.6800,-11438082014383.4300,-10439737903137.7500,-238151759288.1300,789985036.7430,367753477.3608,23570987.4858
2026-04-13T05:00:00.000Z,2026-04-13T14:10:00.000Z,SPX,6815.00,28194863551.7000,38206548048.1800,14649348281.5000,-11754998762547.5600,-11387080735971.3000,-400411721135.3800,1156214559.4693,391560540.8948,29639831.0688
2026-04-13T05:00:00.000Z,2026-04-13T14:15:00.000Z,SPX,6810.00,30063599263.6700,29660680333.1900,14308099312.4400,-12103815262127.4200,-12974556129299.8100,-596574589603.0800,991203777.7953,377882427.3196,37503628.3827
2026-04-13T05:00:00.000Z,2026-04-13T14:20:00.000Z,SPX,6815.00,24554911584.1100,37025147258.8000,15925981157.6600,-11781388910905.6700,-13789395179228.2000,-608712695774.7600,798700713.5662,397955776.2620,39255036.2743
2026-04-13T05:00:00.000Z,2026-04-13T14:25:00.000Z,SPX,6815.00,16462456612.9700,47239503624.8600,16801795100.8300,-12052091428327.9400,-14595111801584.1200,-438719535606.2600,1421011225.7215,411158176.3537,33855688.3900
2026-04-13T05:00:00.000Z,2026-04-13T14:30:00.000Z,SPX,6820.00,20474119606.1800,62542946045.7600,19183532359.8100,-12356839465523.1200,-15592211290539.8000,-322841708007.0600,1459829905.2048,433998356.3200,27861616.8576
2026-04-13T05:00:00.000Z,2026-04-13T14:35:00.000Z,SPX,6815.00,36932292269.4800,58302010707.4800,17307023790.1700,-12586571450152.7100,-16622220493771.5300,-377714444236.2400,972068439.3088,476328093.6036,30132554.1309
