n,median,mean,win_pct_above_0,win_pct_above_25,win_pct_above_50,win_pct_above_100,loss_pct_below_neg25,loss_pct_below_neg50,policy,slice
51290,9.866814486326685,-1.854414972980038,62.57750048742445,15.952427373757066,3.1117176837590175,0.3255995320725288,21.38428543575746,12.548255020471826,act20_trail10,all
51290,8.167102966841185,-2.064522381196314,56.5977773445116,27.19633456814194,4.858646909728992,0.44063170208617664,25.782803665431857,15.28758042503412,act30_trail10,all
51290,7.499999999999996,-2.065460846254493,56.430103333983226,24.24449210372392,6.60947553129265,0.6882433222850458,25.792552154416065,15.28953012283096,act30_trail15,all
51290,4.312853491783769,-2.037482842496001,55.33047377656464,21.914603236498344,9.171378436342367,1.7079352700331447,25.854942483914993,15.295379216221486,act30_trail25,all
51290,-0.5000000000000038,-3.0102402769289025,48.771690387989864,33.81360889062196,12.819263014232792,1.2029635406511991,31.53441216611425,19.07779294209398,act50_trail15,all
51290,-0.6002250937922013,-2.84062770197932,48.654708520179376,31.382335737960616,13.029830376291676,2.4351725482550206,31.548060050692143,19.08169233768766,act50_trail25,all
51290,-7.726297307842374,-4.28103230439944,41.04893741470072,24.71436927276272,17.4575940729187,6.395008773640086,37.34061220510821,23.353480210567362,act100_trail50,all
51290,0.0,-2.1843390427092504,48.672255800350946,19.036849288360305,9.512575550789627,3.2092025736010914,26.09085591733281,15.338272567751998,act30_pct25,all
51290,-0.9009009009009016,-2.918284544794015,48.19652953792162,23.632286995515695,11.696237083252097,3.88769740690193,31.657243127315265,19.116786898030806,act50_pct25,all
51290,-7.754289942893843,-4.164128382479677,40.976798596217584,24.299083642035484,14.474556443751219,5.886137648664457,37.360109183076624,23.35932930395789,act100_pct33,all
51290,3.04095153547708,-1.6592727983249735,53.197504386820036,26.589978553324233,8.106843439266914,1.3257945018522128,26.745954377071552,15.634626632871903,act30_trail10_grace5,all
51290,2.9411764705882213,-1.7166069069128476,53.11951647494638,24.6051861961396,8.800935854942484,1.5110157925521543,26.755702866055763,15.636576330668747,act30_trail15_grace5,all
51290,-1.6666666666666683,-2.433356457019443,47.27237278221876,29.116786898030806,13.764866445700916,3.3378826281926304,32.08422694482355,19.27861181516865,act50_trail25_grace5,all
51290,-4.444444444444452,-1.175383301837286,43.56989666601677,20.232014037824136,9.171378436342367,3.505556638720998,32.16221485669721,13.989081692337688,tier_25_holdEod,all
51290,-6.605851550162082,-1.757062726034338,41.842464418015204,23.068824332228505,12.994735815948527,4.34587638915968,31.50516669916163,19.073893546500294,tier_50_holdEod,all
51290,2.582873125276483,-1.956305854093033,52.80171573406122,33.27939169428738,6.3716124000779875,0.32170013647884577,26.866835640475728,13.989081692337688,tier_25_then_t50_25,all
51290,-1.648507830997877,-2.676508155303093,47.18268668356404,25.398713199454086,11.316046012868005,1.676740105283681,29.88106843439267,13.989081692337688,tier_25_then_t100_50,all
51290,-2.7173913043478284,0.15390158850631158,42.47026710859817,13.550399688048353,6.094755312926496,2.074478455839345,18.697601871709885,6.194189900565412,hard_30m,all
51290,-12.844036697247718,-1.2787825974678235,36.68551374536947,19.475531292649638,12.507311366738156,6.677714954182101,41.066484694872294,26.53343731721583,hold_to_eod,all
676,10.915296307787777,-2.5970856975017425,63.31360946745562,19.526627218934912,6.06508875739645,1.6272189349112427,25.295857988165682,19.230769230769234,act20_trail10,reload
676,17.595459236326118,-2.7028751905273807,58.875739644970416,32.10059171597633,9.615384615384617,2.0710059171597637,30.917159763313613,23.964497041420117,act30_trail10,reload
676,13.902464742322397,-2.272070183590044,58.4319526627219,30.917159763313613,11.094674556213018,2.8106508875739644,30.917159763313613,23.964497041420117,act30_trail15,reload
676,6.5800865800865775,-2.692754910309108,55.47337278106509,26.77514792899408,11.982248520710058,4.437869822485207,31.21301775147929,23.964497041420117,act30_trail25,reload
676,7.7288796781665265,-2.6185340656115867,51.4792899408284,43.786982248520715,19.230769230769234,4.289940828402367,38.75739644970414,30.17751479289941,act50_trail15,reload
676,7.334525939177105,-2.7369696116233033,51.33136094674556,39.349112426035504,17.899408284023668,6.06508875739645,38.75739644970414,30.17751479289941,act50_trail25,reload
676,-24.576812519961678,-3.4755116162724917,39.64497041420118,32.544378698224854,27.071005917159763,12.42603550295858,49.85207100591716,40.0887573964497,act100_trail50,reload
676,0.0,0.37087493664373045,47.485207100591715,19.97041420118343,12.1301775147929,4.881656804733728,31.65680473372781,23.964497041420117,act30_pct25,reload
676,2.4024240675275976,1.2341532973563532,50.29585798816568,27.071005917159763,16.56804733727811,6.508875739644971,38.90532544378698,30.17751479289941,act50_pct25,reload
676,-24.576812519961678,-0.21427251976786077,38.90532544378698,31.21301775147929,21.301775147928996,10.355029585798817,49.85207100591716,40.0887573964497,act100_pct33,reload
676,0.0,0.0568099946449382,49.112426035502956,30.325443786982248,12.8698224852071,5.325443786982249,34.023668639053255,25.295857988165682,act30_trail10_grace5,reload
676,0.0,-0.268536614223284,48.66863905325444,27.810650887573964,12.8698224852071,5.621301775147929,34.023668639053255,25.295857988165682,act30_trail15_grace5,reload
676,-2.4448419797257026,0.4906287432522052,46.44970414201183,33.28402366863905,18.786982248520708,8.431952662721894,41.27218934911242,31.21301775147929,act50_trail25_grace5,reload
676,-21.05263157894737,11.004340761057218,34.467455621301774,23.668639053254438,15.976331360946746,10.207100591715976,45.710059171597635,21.449704142011836,tier_25_holdEod,reload
676,-17.85714285714286,11.442260890426084,36.3905325443787,26.627218934911244,18.786982248520708,11.242603550295858,38.46153846153847,30.17751479289941,tier_50_holdEod,reload
676,15.762987012987011,-1.9535479517614165,54.88165680473372,43.63905325443787,12.1301775147929,1.9230769230769231,33.57988165680473,21.449704142011836,tier_25_then_t50_25,reload
676,-9.544567338972021,-2.3228189540860082,44.08284023668639,34.171597633136095,19.37869822485207,5.9171597633136095,40.680473372781066,21.449704142011836,tier_25_then_t100_50,reload
676,-8.928571428571436,17.847055443424686,38.90532544378698,22.189349112426036,14.201183431952662,7.988165680473373,32.84023668639053,14.940828402366865,hard_30m,reload
676,-48.6908014571949,23.178807814013954,29.437869822485208,21.745562130177515,18.04733727810651,13.461538461538462,59.319526627218934,48.37278106508875,hold_to_eod,reload
18405,10.289855072463768,-2.9091319865080427,65.4604726976365,18.690573213800597,4.960608530290682,0.8367291496875848,20.423797881010593,16.799782667753327,act20_trail10,mode_A
18405,15.068493150684931,-3.5539409647864466,60.934528660690034,31.17087747894594,7.356696549850585,1.0866612333605,25.650638413474596,21.363759847867428,act30_trail10,mode_A
18405,12.174693389171404,-3.6897316066186616,60.488997555012226,27.302363488182557,8.780222765552839,1.5865254007063296,25.67237163814181,21.363759847867428,act30_trail15,mode_A
