date_str,option_chain_id,underlying_symbol,mode,reload,flow_quad,tod,entry_price,act20_trail10,act30_trail10,act30_trail15,act30_trail25,act50_trail15,act50_trail25,act100_trail50,act30_pct25,act50_pct25,act100_pct33,act30_trail10_grace5,act30_trail15_grace5,act50_trail25_grace5,tier_25_holdEod,tier_50_holdEod,tier_25_then_t50_25,tier_25_then_t100_50,hard_30m,hold_to_eod,peak_ceiling,alert_seq,option_type,minutes_since_prev_fire,trigger_window_size,trigger_vol_to_oi_window,trigger_vol_to_oi_cum,trigger_iv,trigger_delta,trigger_ask_pct,open_interest,spot_at_first,strike,lottery,big_lottery,day_of_week,log_entry,abs_delta,moneyness_pct,abs_moneyness,burst_ratio_vs_prev,entry_drop_pct_vs_prev
2026-04-13,GOOGL260415P00312500,GOOGL,B_multi_day_DTE1_3,True,put_ask,AM_open,0.98,8.163265306122456,-48.97959183673469,-48.97959183673469,-48.97959183673469,-48.97959183673469,-48.97959183673469,-48.97959183673469,-48.97959183673469,-48.97959183673469,-48.97959183673469,-48.97959183673469,-48.97959183673469,-48.97959183673469,-48.97959183673469,-48.97959183673469,-48.97959183673469,-48.97959183673469,0.0,-48.97959183673469,20.40816326530612,2,put,30.518800566666663,87.0,0.4027777777777778,2.1018518518518516,0.3563935031340378,-0.1960871700511625,0.75,216.0,317.25,312.5,0,0,0,-0.020202707317519466,0.1960871700511625,-1.4972419227738398,1.4972419227738398,,
2026-04-13,NVDA260415P00187500,NVDA,B_multi_day_DTE1_3,True,put_mixed,AM_open,1.9,-43.68421052631578,-43.68421052631578,-43.68421052631578,-43.68421052631578,-43.68421052631578,-43.68421052631578,-43.68421052631578,-43.68421052631578,-43.68421052631578,-43.68421052631578,-43.68421052631578,-43.68421052631578,-43.68421052631578,-43.68421052631578,-43.68421052631578,-43.68421052631578,-43.68421052631578,-17.894736842105257,-43.68421052631578,1.0526315789473697,5,put,21.432930683333332,440.0,0.1774193548387097,2.737096774193549,0.3661545370376209,-0.4626602602810971,0.5222222222222223,2480.0,186.02,187.5,0,0,0,0.6418538861723947,0.4626602602810971,0.7956133749059235,0.7956133749059235,,
2026-04-13,QQQ260413P00617000,QQQ,A_intraday_0DTE,True,put_mixed,PM,0.26,-73.07692307692307,-73.07692307692307,-73.07692307692307,-73.07692307692307,-73.07692307692307,-73.07692307692307,-73.07692307692307,-73.07692307692307,-73.07692307692307,-73.07692307692307,-73.07692307692307,-73.07692307692307,-73.07692307692307,-73.07692307692307,-73.07692307692307,-73.07692307692307,-73.07692307692307,-73.07692307692307,-73.07692307692307,7.692307692307699,3,put,5.01882125,2718.0,2.633720930232558,14.828488372093023,0.4083916227695422,-0.5615219597041476,0.5787037037037037,1032.0,609.79,617.0,0,0,0,-1.3470736479666092,0.5615219597041476,1.182374259991148,1.182374259991148,,
2026-04-13,QQQ260413P00618000,QQQ,A_intraday_0DTE,True,put_mixed,PM,1.48,-72.97297297297298,-72.97297297297298,-72.97297297297298,-72.97297297297298,-72.97297297297298,-72.97297297297298,-72.97297297297298,-72.97297297297298,-72.97297297297298,-72.97297297297298,-72.97297297297298,-72.97297297297298,-72.97297297297298,-72.97297297297298,-72.97297297297298,-72.97297297297298,-72.97297297297298,-72.97297297297298,-72.97297297297298,1.3513513513513526,2,put,5.4629288166666665,278.0,1.0651340996168583,7.85823754789272,0.5833859131534528,-0.916011354380572,0.5454545454545454,261.0,609.85,618.0,0,0,0,0.3920420877760237,0.916011354380572,1.3363941952939218,1.3363941952939218,,
2026-04-13,SLV260413C00067000,SLV,A_intraday_0DTE,True,call_mixed,MID,0.3,-3.3333333333333366,-3.3333333333333366,-3.3333333333333366,-3.3333333333333366,26.66666666666667,23.333333333333336,376.6666666666667,-3.3333333333333366,6.666666666666673,270.0,-9.999999999999991,-9.999999999999991,23.333333333333336,193.33333333333337,203.33333333333337,26.66666666666667,203.33333333333337,-9.999999999999991,356.6666666666667,459.99999999999994,10,call,10.474005583333334,173.0,0.2291390728476821,4.6490066225165565,0.5472773934050241,0.4475831529755122,0.5333333333333333,755.0,67.22,67.0,1,0,0,-1.2039728043259361,0.4475831529755122,-0.3272835465635171,0.3272835465635171,,
2026-04-13,SLV260413C00067000,SLV,A_intraday_0DTE,True,call_mixed,MID,0.3,-3.3333333333333366,-3.3333333333333366,-3.3333333333333366,-3.3333333333333366,26.66666666666667,23.333333333333336,376.6666666666667,-3.3333333333333366,6.666666666666673,270.0,-9.999999999999991,-9.999999999999991,23.333333333333336,193.33333333333337,203.33333333333337,26.66666666666667,203.33333333333337,-9.999999999999991,356.6666666666667,459.99999999999994,12,call,5.175614166666667,150.0,0.1986754966887417,5.584105960264901,0.5420758321545158,0.4244635458186341,0.7142857142857143,755.0,67.22,67.0,1,0,0,-1.2039728043259361,0.4244635458186341,-0.3272835465635171,0.3272835465635171,0.8670520231213873,0.0
2026-04-13,SLV260413C00067000,SLV,A_intraday_0DTE,True,call_mixed,MID,0.3,-3.3333333333333366,-3.3333333333333366,-3.3333333333333366,-3.3333333333333366,26.66666666666667,23.333333333333336,376.6666666666667,-3.3333333333333366,6.666666666666673,270.0,-9.999999999999991,-9.999999999999991,23.333333333333336,193.33333333333337,203.33333333333337,26.66666666666667,203.33333333333337,-9.999999999999991,356.6666666666667,459.99999999999994,19,call,20.120916599999997,100.0,0.1324503311258278,7.584105960264901,0.4582337419283692,0.5551537091638902,0.5384615384615384,755.0,67.22,67.0,1,0,0,-1.2039728043259361,0.5551537091638902,-0.3272835465635171,0.3272835465635171,0.6666666666666666,0.0
2026-04-13,SLV260413C00068500,SLV,A_intraday_0DTE,True,call_ask,LUNCH,0.16,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-56.25,-87.50000000000001,0.0,13,call,5.463338533333333,754.0,0.6395250212044106,9.011874469889737,0.5262097050345416,0.4335327148403547,0.6190476190476191,1179.0,67.22,68.5,0,0,0,-1.8325814637483102,0.4335327148403547,1.904195180005952,1.904195180005952,,
2026-04-13,SLV260413P00066500,SLV,A_intraday_0DTE,True,put_ask,MID,0.08,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-87.50000000000001,-75.0,-87.50000000000001,12.499999999999991,14,put,34.09993313333333,78.0,0.1361256544502617,11.3804537521815,0.5087692590907643,-0.2084509125247519,0.7142857142857143,573.0,67.22,66.5,0,0,0,-2.5257286443082556,0.2084509125247519,-1.0711097887533438,1.0711097887533438,,
2026-04-13,SLV260413P00066500,SLV,A_intraday_0DTE,True,put_ask,MID,0.04,0.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-24.999999999999996,-75.0,-24.999999999999996,-24.999999999999996,-75.0,-75.0,25.000000000000007,15,put,14.285764616666668,415.0,0.7242582897033158,12.301919720767888,0.4927002058840798,-0.1781205683798257,0.875,573.0,67.22,66.5,0,0,0,-3.2188758248682006,0.1781205683798257,-1.0711097887533438,1.0711097887533438,5.32051282051282,-50.0
