bucket_min,symbol,distance_bucket,premium_threshold_usd,n,touch_pct
1,QQQ,0.3-0.5%,1000,6346,25.701229120705953
1,QQQ,0.3-0.5%,5000,4507,28.289327712447303
1,QQQ,0.3-0.5%,25000,2251,32.29675699689027
1,QQQ,0.3-0.5%,50000,1285,33.85214007782101
1,QQQ,0.3-0.5%,100000,468,39.52991452991453
1,QQQ,0.3-0.5%,250000,44,45.45454545454545
1,QQQ,0.3-0.5%,500000,12,41.66666666666667
1,QQQ,0.5-1%,1000,8778,5.764411027568922
1,QQQ,0.5-1%,5000,4391,8.494648143930768
1,QQQ,0.5-1%,25000,1201,12.98917568692756
1,QQQ,0.5-1%,50000,476,13.025210084033615
1,QQQ,0.5-1%,100000,123,8.94308943089431
1,QQQ,0.5-1%,250000,12,8.333333333333332
1,QQQ,1-1.5%,1000,2748,0.0
1,QQQ,1-1.5%,5000,727,0.0
1,QQQ,1-1.5%,25000,58,0.0
1,QQQ,1-1.5%,50000,20,0.0
1,QQQ,1-1.5%,100000,10,0.0
1,QQQ,1.5-2%,1000,894,0.0
1,QQQ,1.5-2%,5000,135,0.0
1,QQQ,1.5-2%,25000,14,0.0
1,QQQ,2-3%,1000,337,0.0
1,QQQ,2-3%,5000,21,0.0
1,QQQ,3%+,1000,96,0.0
1,SPXW,0.3-0.5%,1000,15468,12.61313679855185
1,SPXW,0.3-0.5%,5000,12712,13.892385147891757
1,SPXW,0.3-0.5%,25000,8152,17.38223748773307
1,SPXW,0.3-0.5%,50000,5361,19.455325498974073
1,SPXW,0.3-0.5%,100000,2532,21.761453396524484
1,SPXW,0.3-0.5%,250000,409,18.82640586797066
1,SPXW,0.3-0.5%,500000,65,15.384615384615385
1,SPXW,0.5-1%,1000,24723,1.0880556566759698
1,SPXW,0.5-1%,5000,15137,1.5789125982691419
1,SPXW,0.5-1%,25000,5985,3.258145363408521
1,SPXW,0.5-1%,50000,2821,3.792981212336051
1,SPXW,0.5-1%,100000,931,3.22234156820623
1,SPXW,0.5-1%,250000,144,2.083333333333333
1,SPXW,0.5-1%,500000,24,0.0
1,SPXW,1-1.5%,1000,10575,0.0
1,SPXW,1-1.5%,5000,4062,0.0
1,SPXW,1-1.5%,25000,665,0.0
1,SPXW,1-1.5%,50000,233,0.0
1,SPXW,1-1.5%,100000,60,0.0
1,SPXW,1.5-2%,1000,4251,0.0
1,SPXW,1.5-2%,5000,1001,0.0
1,SPXW,1.5-2%,25000,88,0.0
1,SPXW,1.5-2%,50000,13,0.0
1,SPXW,2-3%,1000,2668,0.0
1,SPXW,2-3%,5000,373,0.0
1,SPXW,2-3%,25000,25,0.0
1,SPXW,3%+,1000,772,0.0
1,SPXW,3%+,5000,54,0.0
1,SPY,0.3-0.5%,1000,7535,11.758460517584606
1,SPY,0.3-0.5%,5000,5410,14.085027726432534
1,SPY,0.3-0.5%,25000,2378,17.36753574432296
1,SPY,0.3-0.5%,50000,1240,19.032258064516128
1,SPY,0.3-0.5%,100000,478,20.920502092050206
1,SPY,0.3-0.5%,250000,75,18.666666666666668
1,SPY,0.5-1%,1000,10140,1.0650887573964496
1,SPY,0.5-1%,5000,5151,1.57251019219569
1,SPY,0.5-1%,25000,1024,2.9296875
1,SPY,0.5-1%,50000,350,3.1428571428571432
1,SPY,0.5-1%,100000,101,4.9504950495049505
1,SPY,0.5-1%,250000,12,8.333333333333332
1,SPY,1-1.5%,1000,2991,0.0
1,SPY,1-1.5%,5000,961,0.0
1,SPY,1-1.5%,25000,79,0.0
1,SPY,1-1.5%,50000,22,0.0
1,SPY,1-1.5%,100000,11,0.0
1,SPY,1.5-2%,1000,916,0.0
1,SPY,1.5-2%,5000,270,0.0
1,SPY,2-3%,1000,404,0.0
1,SPY,2-3%,5000,64,0.0
1,SPY,3%+,1000,172,0.0
