bucket_min,symbol,option_type,aggression_regime,distance_bucket,premium_bucket,n,touch_pct,median_minutes_to_touch,median_mfe_bps,median_mae_bps,median_end_ret_bps
1,QQQ,call,buy_dom,0.3-0.5%,$1-5k,367,17.43869209809264,71.5,22.0886869430542,11.98493480682373,13.908830642700195
1,QQQ,call,buy_dom,0.3-0.5%,$100-500k,46,52.17391304347826,41.5,43.79924392700195,19.034863471984863,18.863255500793457
1,QQQ,call,buy_dom,0.3-0.5%,$25-100k,192,38.54166666666667,46.0,29.144076347351074,17.995919227600098,12.738271713256836
1,QQQ,call,buy_dom,0.3-0.5%,$5-25k,366,23.497267759562842,64.5,23.041189193725586,14.424872875213623,13.49525499343872
1,QQQ,call,buy_dom,0.5-1%,$1-5k,626,4.313099041533546,102.0,24.25015354156494,15.137868404388428,13.78243637084961
1,QQQ,call,buy_dom,0.5-1%,$100-500k,12,0.0,,46.10348129272461,13.72594165802002,34.06283187866211
1,QQQ,call,buy_dom,0.5-1%,$25-100k,86,23.25581395348837,72.5,40.2921199798584,23.220166206359863,11.9431791305542
1,QQQ,call,buy_dom,0.5-1%,$5-25k,361,7.756232686980609,82.5,27.785842895507812,16.16410255432129,14.413615226745605
1,QQQ,call,buy_dom,1-1.5%,$1-5k,154,0.0,,45.50629234313965,14.589287757873535,28.200690269470215
1,QQQ,call,buy_dom,1-1.5%,$5-25k,27,0.0,,54.629642486572266,24.77090835571289,36.1292610168457
1,QQQ,call,buy_dom,1.5-2%,$1-5k,36,0.0,,45.67560958862305,18.544004440307617,27.910490036010742
1,QQQ,call,buy_dom,2-3%,$1-5k,16,0.0,,62.39204216003418,20.974846839904785,53.38302421569824
1,QQQ,call,mixed,0.3-0.5%,$1-5k,179,18.435754189944134,55.0,23.4102783203125,14.242719650268555,13.784174919128418
1,QQQ,call,mixed,0.3-0.5%,$100-500k,79,64.55696202531645,42.0,49.14828872680664,16.322086334228516,31.996402740478516
1,QQQ,call,mixed,0.3-0.5%,$25-100k,255,41.17647058823529,42.0,32.55851745605469,15.345210075378418,15.099332809448242
1,QQQ,call,mixed,0.3-0.5%,$5-25k,269,25.27881040892193,62.5,24.943403244018555,15.231633186340332,11.260207176208496
