bucket_min,symbol,distance_bucket,gamma_threshold_usd_per_pct,n,touch_pct,median_mfe_bps,median_mae_bps
1,QQQ,0.3-0.5%,1000,6346,25.701229120705953,20.09476089477539,20.56045150756836
1,QQQ,0.3-0.5%,5000,6346,25.701229120705953,20.09476089477539,20.56045150756836
1,QQQ,0.3-0.5%,25000,6346,25.701229120705953,20.09476089477539,20.56045150756836
1,QQQ,0.3-0.5%,100000,6346,25.701229120705953,20.09476089477539,20.56045150756836
1,QQQ,0.3-0.5%,500000,6346,25.701229120705953,20.09476089477539,20.56045150756836
1,QQQ,0.3-0.5%,2500000,6158,25.70639818122767,20.016027450561523,20.56715965270996
1,QQQ,0.3-0.5%,10000000,4156,27.815206929740132,20.09476089477539,21.43901252746582
1,QQQ,0.3-0.5%,50000000,688,31.1046511627907,21.789055824279785,22.650456428527832
1,QQQ,0.5-1%,1000,8778,5.764411027568922,19.597402572631836,22.124021530151367
1,QQQ,0.5-1%,5000,8778,5.764411027568922,19.597402572631836,22.124021530151367
1,QQQ,0.5-1%,25000,8778,5.764411027568922,19.597402572631836,22.124021530151367
1,QQQ,0.5-1%,100000,8778,5.764411027568922,19.597402572631836,22.124021530151367
1,QQQ,0.5-1%,500000,8778,5.764411027568922,19.597402572631836,22.124021530151367
1,QQQ,0.5-1%,2500000,6786,6.749189507810198,19.96888542175293,22.126859664916992
1,QQQ,0.5-1%,10000000,2494,9.943865276663994,20.96246337890625,23.605201721191406
1,QQQ,0.5-1%,50000000,188,7.446808510638298,24.51726531982422,22.235663414001465
1,QQQ,1-1.5%,1000,2748,0.0,17.609540939331055,27.951372146606445
1,QQQ,1-1.5%,5000,2748,0.0,17.609540939331055,27.951372146606445
1,QQQ,1-1.5%,25000,2748,0.0,17.609540939331055,27.951372146606445
1,QQQ,1-1.5%,100000,2748,0.0,17.609540939331055,27.951372146606445
1,QQQ,1-1.5%,500000,2734,0.0,17.625280380249023,27.7883243560791
1,QQQ,1-1.5%,2500000,1052,0.0,18.74719524383545,26.246021270751953
1,QQQ,1-1.5%,10000000,118,0.0,32.287418365478516,23.93654727935791
1,QQQ,1-1.5%,50000000,11,0.0,27.06338882446289,40.74238586425781
1,QQQ,1.5-2%,1000,894,0.0,14.595045566558838,40.787540435791016
1,QQQ,1.5-2%,5000,894,0.0,14.595045566558838,40.787540435791016
1,QQQ,1.5-2%,25000,894,0.0,14.595045566558838,40.787540435791016
1,QQQ,1.5-2%,100000,894,0.0,14.595045566558838,40.787540435791016
1,QQQ,1.5-2%,500000,869,0.0,14.547937393188477,40.74238586425781
1,QQQ,1.5-2%,2500000,171,0.0,17.111711502075195,41.81353759765625
1,QQQ,1.5-2%,10000000,20,0.0,8.157219171524048,55.31222724914551
1,QQQ,2-3%,1000,337,0.0,15.71004581451416,46.78703308105469
1,QQQ,2-3%,5000,337,0.0,15.71004581451416,46.78703308105469
1,QQQ,2-3%,25000,337,0.0,15.71004581451416,46.78703308105469
1,QQQ,2-3%,100000,337,0.0,15.71004581451416,46.78703308105469
1,QQQ,2-3%,500000,285,0.0,16.03180694580078,44.180572509765625
1,QQQ,2-3%,2500000,20,0.0,26.917741775512695,37.18602752685547
1,QQQ,3%+,1000,96,0.0,18.00773811340332,25.492630004882812
1,QQQ,3%+,5000,96,0.0,18.00773811340332,25.492630004882812
1,QQQ,3%+,25000,96,0.0,18.00773811340332,25.492630004882812
1,QQQ,3%+,100000,96,0.0,18.00773811340332,25.492630004882812
1,QQQ,3%+,500000,47,0.0,21.095996856689453,22.924108505249023
1,SPXW,0.3-0.5%,1000,15468,12.61313679855185,13.495235443115234,13.920047760009766
1,SPXW,0.3-0.5%,5000,15468,12.61313679855185,13.495235443115234,13.920047760009766
1,SPXW,0.3-0.5%,25000,15468,12.61313679855185,13.495235443115234,13.920047760009766
1,SPXW,0.3-0.5%,100000,15468,12.61313679855185,13.495235443115234,13.920047760009766
1,SPXW,0.3-0.5%,500000,15468,12.61313679855185,13.495235443115234,13.920047760009766
1,SPXW,0.3-0.5%,2500000,15468,12.61313679855185,13.495235443115234,13.920047760009766
1,SPXW,0.3-0.5%,10000000,14954,12.85274842851411,13.673609733581543,13.907999038696289
1,SPXW,0.3-0.5%,50000000,9064,16.372462488967344,15.337926864624023,14.481971740722656
1,SPXW,0.5-1%,1000,24723,1.0880556566759698,14.934195518493652,15.326388359069824
1,SPXW,0.5-1%,5000,24723,1.0880556566759698,14.934195518493652,15.326388359069824
1,SPXW,0.5-1%,25000,24723,1.0880556566759698,14.934195518493652,15.326388359069824
1,SPXW,0.5-1%,100000,24723,1.0880556566759698,14.934195518493652,15.326388359069824
1,SPXW,0.5-1%,500000,24723,1.0880556566759698,14.934195518493652,15.326388359069824
1,SPXW,0.5-1%,2500000,24151,1.1138255144714504,14.917688369750977,15.356900215148926
1,SPXW,0.5-1%,10000000,16242,1.600788080285679,15.271655082702637,15.990090370178223
1,SPXW,0.5-1%,50000000,3900,3.5128205128205128,17.790006637573242,17.000266075134277
1,SPXW,1-1.5%,1000,10575,0.0,14.64491081237793,18.178932189941406
1,SPXW,1-1.5%,5000,10575,0.0,14.64491081237793,18.178932189941406
1,SPXW,1-1.5%,25000,10575,0.0,14.64491081237793,18.178932189941406
1,SPXW,1-1.5%,100000,10575,0.0,14.64491081237793,18.178932189941406
1,SPXW,1-1.5%,500000,10575,0.0,14.64491081237793,18.178932189941406
1,SPXW,1-1.5%,2500000,8066,0.0,15.043889999389648,18.475830078125
1,SPXW,1-1.5%,10000000,2318,0.0,15.063380241394043,21.587697982788086
1,SPXW,1-1.5%,50000000,153,0.0,14.015933990478516,22.365615844726562
1,SPXW,1.5-2%,1000,4251,0.0,13.168830394744873,22.594348907470703
1,SPXW,1.5-2%,5000,4251,0.0,13.168830394744873,22.594348907470703
1,SPXW,1.5-2%,25000,4251,0.0,13.168830394744873,22.594348907470703
1,SPXW,1.5-2%,100000,4251,0.0,13.168830394744873,22.594348907470703
1,SPXW,1.5-2%,500000,4251,0.0,13.168830394744873,22.594348907470703
1,SPXW,1.5-2%,2500000,1954,0.0,13.313328742980957,23.10915756225586
1,SPXW,1.5-2%,10000000,307,0.0,13.976003646850586,23.95477867126465
1,SPXW,2-3%,1000,2668,0.0,12.476471900939941,23.965198516845703
1,SPXW,2-3%,5000,2668,0.0,12.476471900939941,23.965198516845703
1,SPXW,2-3%,25000,2668,0.0,12.476471900939941,23.965198516845703
1,SPXW,2-3%,100000,2668,0.0,12.476471900939941,23.965198516845703
1,SPXW,2-3%,500000,2665,0.0,12.476471900939941,23.965198516845703
1,SPXW,2-3%,2500000,620,0.0,13.024901390075684,23.40504264831543
1,SPXW,2-3%,10000000,53,0.0,11.218355178833008,19.8841609954834
1,SPXW,3%+,1000,772,0.0,11.91427993774414,22.927650451660156
1,SPXW,3%+,5000,772,0.0,11.91427993774414,22.927650451660156
1,SPXW,3%+,25000,772,0.0,11.91427993774414,22.927650451660156
1,SPXW,3%+,100000,771,0.0,11.814542770385742,22.927650451660156
1,SPXW,3%+,500000,614,0.0,11.218355178833008,24.186981201171875
1,SPXW,3%+,2500000,50,0.0,10.627956867218018,31.198837280273438
1,SPY,0.3-0.5%,1000,7535,11.758460517584606,13.689045906066895,14.34196424484253
1,SPY,0.3-0.5%,5000,7535,11.758460517584606,13.689045906066895,14.34196424484253
1,SPY,0.3-0.5%,25000,7535,11.758460517584606,13.689045906066895,14.34196424484253
1,SPY,0.3-0.5%,100000,7535,11.758460517584606,13.689045906066895,14.34196424484253
1,SPY,0.3-0.5%,500000,7535,11.758460517584606,13.689045906066895,14.34196424484253
1,SPY,0.3-0.5%,2500000,7499,11.788238431790905,13.672149658203125,14.33808708190918
1,SPY,0.3-0.5%,10000000,6162,12.917883803959754,13.927226543426514,14.394168376922607
1,SPY,0.3-0.5%,50000000,1899,16.74565560821485,15.254088401794434,15.267744064331055
1,SPY,0.5-1%,1000,10140,1.0650887573964496,14.803363800048828,16.31852149963379
1,SPY,0.5-1%,5000,10140,1.0650887573964496,14.803363800048828,16.31852149963379
1,SPY,0.5-1%,25000,10140,1.0650887573964496,14.803363800048828,16.31852149963379
1,SPY,0.5-1%,100000,10140,1.0650887573964496,14.803363800048828,16.31852149963379
1,SPY,0.5-1%,500000,10140,1.0650887573964496,14.803363800048828,16.31852149963379
1,SPY,0.5-1%,2500000,9140,1.1816192560175056,14.803363800048828,16.47933006286621
1,SPY,0.5-1%,10000000,4373,1.989480905556826,15.472686290740967,17.261211395263672
1,SPY,0.5-1%,50000000,446,3.587443946188341,16.49826145172119,18.68764877319336
1,SPY,1-1.5%,1000,2991,0.0,14.088476181030273,18.980880737304688
1,SPY,1-1.5%,5000,2991,0.0,14.088476181030273,18.980880737304688
1,SPY,1-1.5%,25000,2991,0.0,14.088476181030273,18.980880737304688
1,SPY,1-1.5%,100000,2991,0.0,14.088476181030273,18.980880737304688
1,SPY,1-1.5%,500000,2991,0.0,14.088476181030273,18.980880737304688
1,SPY,1-1.5%,2500000,1791,0.0,14.786395072937012,16.566740036010742
