bucket_min,decile,n,touch_pct,mean_minutes_to_touch,median_minutes_to_touch,median_dist_bps,median_mfe_bps,median_mae_bps,mfe_mae_ratio,mean_end_ret_bps
5,0,176,21.022727272727273,68.72972972972973,71.0,38.43192994014114,14.804633617401123,17.42484951019287,0.8496276314318226,-3.2373791385272686
5,1,176,19.886363636363637,71.68571428571428,83.0,38.77078894925593,15.483553886413574,14.572045803070068,1.062551826672921,-2.4179909832098265
5,2,176,21.59090909090909,65.60526315789474,68.5,37.97357096796691,18.894397735595703,14.717715740203857,1.2837860214939845,2.198872002180327
5,3,176,22.15909090909091,62.46153846153846,58.0,36.42386130973874,19.5027494430542,15.412972927093506,1.2653463764133088,3.6826378015526147
5,4,176,17.613636363636363,71.0,77.0,36.53675100304793,15.873810291290283,19.25387954711914,0.8244473666952695,-4.611689298053864
5,5,176,25.0,62.70454545454545,59.5,37.223748985182105,17.79778289794922,16.95291233062744,1.0498363084079316,-0.9050452734174376
5,6,176,24.431818181818183,56.58139534883721,51.0,36.881967002411415,18.62100601196289,18.92463970184326,0.9839556422386844,-0.4301907806233926
5,7,176,26.136363636363637,52.130434782608695,46.0,34.30105112962009,15.53872299194336,21.466093063354492,0.7238728978805207,-3.6003634099827404
5,8,176,23.295454545454543,63.78048780487805,61.0,33.807732660236425,16.222291946411133,21.45578384399414,0.7560801350518845,-4.010748731353405
5,9,176,24.431818181818183,50.372093023255815,48.0,33.35998866872079,17.73517608642578,17.862319946289062,0.9928820074746396,-1.6785682480443607
