rank_in_day,bucket_start,symbol,option_chain_id,strike,option_type,bucket_spot,moneyness_pct,n_prints,total_volume,total_premium,buy_premium_pct,composite_score
1,2026-04-15 09:20:00,SPXW,SPXW260415C07010000,7010.0,call,6988.10986328125,0.0031324831960314286,1136,4138,1286930.0,0.5190593116952747,8.18886961531271
2,2026-04-15 08:45:00,SPXW,SPXW260415P06950000,6950.0,put,6971.27001953125,-0.0030510967831769917,893,2315,1473621.0,0.37301721405978877,8.126074275677762
3,2026-04-15 13:00:00,SPXW,SPXW260415C07025000,7025.0,call,7003.39990234375,0.003084230224954216,1840,6911,1081701.0,0.45689705380692075,8.06573561901264
4,2026-04-15 08:35:00,SPXW,SPXW260415C07005000,7005.0,call,6983.5498046875,0.00307153180150619,1011,2652,1190519.0,0.3775781822885649,8.031855337517698
5,2026-04-15 08:40:00,SPXW,SPXW260415P06950000,6950.0,put,6980.6201171875,-0.00438644657257712,774,3371,1419057.0,0.6520217299234633,7.988087904534635
6,2026-04-15 08:30:00,SPY,SPY260415C00698000,698.0,call,695.5700073242188,0.0034935271075433,2525,19661,846645.0,0.5803849311104418,7.960028659729415
7,2026-04-15 08:55:00,SPXW,SPXW260415C07000000,7000.0,call,6977.740234375,0.0031901109639106274,1188,2239,887490.0,0.4669979380049353,7.958128606423491
8,2026-04-15 09:05:00,SPXW,SPXW260415P06950000,6950.0,put,6976.06982421875,-0.003737036021090795,699,2199,948538.0,0.5846112649150588,7.940555650572216
9,2026-04-15 08:45:00,SPY,SPY260415C00697000,697.0,call,694.780029296875,0.003195213750417718,2318,14455,864753.0,0.44749772478384003,7.925826179219061
10,2026-04-15 11:55:00,SPXW,SPXW260415P06960000,6960.0,put,6981.7998046875,-0.0031223760774211633,1025,2298,793040.0,0.4573287602138606,7.919911577789939
11,2026-04-15 08:45:00,SPXW,SPXW260415C06995000,6995.0,call,6971.6201171875,0.00335357957253872,684,1808,931622.0,0.4566498000261909,7.919816130164337
12,2026-04-15 08:40:00,SPXW,SPXW260415P06960000,6960.0,put,6982.990234375,-0.0032923194223910724,694,1542,994531.0,0.370885372100015,7.880808306900298
13,2026-04-15 08:45:00,SPXW,SPXW260415C07000000,7000.0,call,6971.77978515625,0.004047777714355551,1702,4193,1694873.0,0.3343105943631175,7.849114697557971
14,2026-04-15 08:30:00,SPXW,SPXW260415C07005000,7005.0,call,6980.580078125,0.0034982654165840107,1052,2599,959385.0,0.4139328840872017,7.846446635773554
