rank_in_day,bucket_start,symbol,option_chain_id,strike,option_type,bucket_spot,moneyness_pct,n_prints,total_volume,total_premium,buy_premium_pct,composite_score
1,2026-04-20 09:51:00,SPY,SPY260420P00705000,705.0,put,707.1900024414062,-0.0030967666876593057,1350,9910,770919.0,0.5600873762353762,8.01806668266922
2,2026-04-20 09:51:00,SPXW,SPXW260420P07075000,7075.0,put,7098.43994140625,-0.0033021257628061845,626,1289,972390.0,0.4613159329075782,7.95851913462737
3,2026-04-20 09:51:00,SPXW,SPXW260420P07070000,7070.0,put,7098.43994140625,-0.00400650588594201,745,1626,1075104.0,0.5395143167544721,7.869013432613002
4,2026-04-20 10:29:00,SPXW,SPXW260420C07125000,7125.0,call,7103.080078125,0.003085974201882601,170,673,258784.0,0.7411200074193149,7.728266846494076
5,2026-04-20 08:52:00,QQQ,QQQ260420C00650000,650.0,call,647.2249755859375,0.004287573129498364,207,6122,410875.0,0.8892631578947369,7.716701993132666
6,2026-04-20 08:37:00,SPXW,SPXW260420P07095000,7095.0,put,7116.7998046875,-0.0030631471006310304,47,262,203531.0,0.80450152556613,7.694190095576209
7,2026-04-20 08:55:00,SPY,SPY260420P00707000,707.0,put,709.489990234375,-0.00350954949139233,297,4230,278466.0,0.7779549388435213,7.669863827499066
8,2026-04-20 10:21:00,SPXW,SPXW260420P07075000,7075.0,put,7096.60009765625,-0.003043724792014662,159,694,411063.0,0.4535825408757295,7.6543745472471345
9,2026-04-20 08:46:00,SPXW,SPXW260420C07135000,7135.0,call,7112.93994140625,0.0031013981244706894,71,405,233750.0,0.7055272727272728,7.643861312870955
10,2026-04-20 09:56:00,SPXW,SPXW260420P07070000,7070.0,put,7094.009765625,-0.003384512626602605,255,982,642501.0,0.3460134692397366,7.638534165149622
11,2026-04-20 08:37:00,SPY,SPY260420P00707000,707.0,put,709.27001953125,-0.003200501175490591,158,2926,234002.0,0.7044597909419578,7.613530863547205
12,2026-04-20 10:08:00,QQQ,QQQ260420C00645000,645.0,call,642.9600219726562,0.0031727913985770424,125,2774,214930.0,0.7143395524124133,7.594801192155701
13,2026-04-20 09:51:00,SPXW,SPXW260420P07065000,7065.0,put,7098.169921875,-0.004673024489421927,755,1780,984708.0,0.5016908565788031,7.59309141703544
14,2026-04-20 09:51:00,QQQ,QQQ260420P00642000,642.0,put,644.5,-0.003878975950349108,785,6157,520256.0,0.5257911489728134,7.578316296174949
15,2026-04-20 09:02:00,QQQ,QQQ260420P00645000,645.0,put,647.1699829101562,-0.003353033928425415,179,2220,187930.0,0.8021444154738466,7.57023266163684
