rank_in_day,bucket_start,symbol,option_chain_id,strike,option_type,bucket_spot,moneyness_pct,n_prints,total_volume,total_premium,buy_premium_pct,composite_score
1,2026-04-17 09:58:00,QQQ,QQQ260417C00651000,651.0,call,649.02001953125,0.003050723258398141,327,10774,782511.0,0.9337836784403031,8.41205770719535
2,2026-04-17 10:37:00,SPXW,SPXW260417C07160000,7160.0,call,7135.3798828125,0.003450428371277644,179,2491,673986.0,0.8756739754238219,8.169196983895265
3,2026-04-17 09:12:00,SPXW,SPXW260417C07140000,7140.0,call,7112.47021484375,0.003870636266257431,176,1829,750948.0,0.8918407133383404,8.106260276762649
4,2026-04-17 08:42:00,SPXW,SPXW260417C07125000,7125.0,call,7093.52001953125,0.004437850373590718,105,3049,1230276.0,0.8463759351560137,8.105023728036565
5,2026-04-17 09:37:00,SPXW,SPXW260417P07100000,7100.0,put,7125.22998046875,-0.003540935596171478,47,862,436619.0,0.9007945142103299,7.978617460663982
6,2026-04-17 10:57:00,SPXW,SPXW260417C07160000,7160.0,call,7135.330078125,0.003457432467018076,64,1154,307147.0,0.92159780170407,7.87171575334672
7,2026-04-17 08:59:00,SPY,SPY260417P00706000,706.0,put,708.280029296875,-0.0032191071363941105,305,4950,371197.0,0.7660945535658963,7.869968040239467
8,2026-04-17 08:43:00,SPXW,SPXW260417P07070000,7070.0,put,7092.4599609375,-0.0031667377836745916,392,865,670640.0,0.4477007038053203,7.824169469435253
9,2026-04-17 09:34:00,SPY,SPY260417P00708000,708.0,put,710.135009765625,-0.0030064843111025394,257,4521,293048.0,0.7559512434822964,7.820946193885814
10,2026-04-17 09:22:00,SPY,SPY260417C00712000,712.0,call,709.2575073242188,0.0038667094073176872,212,8519,346560.0,0.9401402354570637,7.819907101363307
11,2026-04-17 09:24:00,SPXW,SPXW260417C07140000,7140.0,call,7115.85986328125,0.003392441276607512,87,664,287360.0,0.874676364142539,7.815371807470318
12,2026-04-17 08:41:00,SPXW,SPXW260417C07125000,7125.0,call,7092.7099609375,0.0045525672472629865,103,1498,608405.0,0.8766282328383231,7.795051547002325
13,2026-04-17 09:20:00,SPXW,SPXW260417P07090000,7090.0,put,7113.5,-0.00330357770436494,122,482,318892.0,0.7734154509990844,7.785987125866588
14,2026-04-17 09:35:00,SPXW,SPXW260417C07150000,7150.0,call,7122.4501953125,0.003868023493604962,212,1511,481701.0,0.7604281494121873,7.78279955081549
15,2026-04-17 12:25:00,SPXW,SPXW260417P07100000,7100.0,put,7121.93017578125,-0.003079246108846376,327,1253,436990.0,0.5600791780132268,7.776777837957683
16,2026-04-17 10:00:00,QQQ,QQQ260417P00646000,646.0,put,648.7000122070312,-0.00416218923419651,75,8015,544266.0,0.7895753179511489,7.776730550661898
17,2026-04-17 08:46:00,QQQ,QQQ260417C00648000,648.0,call,645.8900146484375,0.003266787384398534,621,12785,1266369.0,0.14122739896507258,7.763751797290099
